raw,N-std,U-std,z-std,E-std
1,0.991187,0.995418,0.995346,0.99045
1,0.986501,0.990466,0.990137,0.9835
1,0.989967,0.994707,0.99481,0.988867
1,0.991687,0.995231,0.995285,0.989621
1,0.993187,0.997196,0.996651,0.991625
1,0.991177,0.993394,0.992622,0.988908
1,0.994468,0.997406,0.996742,0.993826
1,0.993322,0.996165,0.996005,0.991268
1,0.993242,0.997359,0.996802,0.991024
1,0.993634,0.997146,0.997231,0.99137
1,0.986601,0.993352,0.993109,0.984526
1,0.988324,0.993098,0.993379,0.986442
1,0.985883,0.99134,0.991077,0.983118
1,0.992847,0.995169,0.995059,0.990707
1,0.98963,0.994778,0.994781,0.989042
1,0.992183,0.997197,0.997146,0.988372
1,0.991686,0.996148,0.995813,0.989836
1,0.992209,0.996477,0.996494,0.99129
1,0.989924,0.993637,0.993584,0.989102
1,0.99106,0.99684,0.996826,0.988005
1,0.992783,0.99604,0.995477,0.989887
1,0.992565,0.9955,0.994956,0.989279
1,0.993652,0.996828,0.996356,0.993025
1,0.991893,0.996378,0.995952,0.991607
1,0.992828,0.9963,0.99644,0.992187
1,0.989334,0.993992,0.993527,0.98936
1,0.992565,0.995593,0.995478,0.989043
1,0.993463,0.995744,0.99533,0.990761
1,0.989524,0.993431,0.993385,0.988105
1,0.992732,0.996351,0.995745,0.990574
1,0.98971,0.995035,0.995085,0.987646
1,0.989676,0.99348,0.993117,0.987626
1,0.990128,0.996037,0.996253,0.988607
1,0.99107,0.994833,0.995281,0.989203
1,0.994047,0.996355,0.996281,0.992921
1,0.988838,0.992797,0.992815,0.986959
1,0.98844,0.99554,0.995283,0.986108
1,0.989572,0.992247,0.992119,0.986332
1,0.990309,0.995351,0.995659,0.98871
1,0.992348,0.996798,0.996852,0.990923
1,0.993688,0.997024,0.997017,0.992281
1,0.989665,0.993523,0.993714,0.985377
1,0.99214,0.995445,0.99561,0.989266
1,0.991683,0.993934,0.99383,0.990523
1,0.991995,0.994868,0.994764,0.991864
