raw,N-std,U-std,z-std,E-std
1,0.930597,0.937271,0.933934,0.920227
1,0.910911,0.910577,0.911578,0.905298
1,0.931598,0.934268,0.934935,0.912641
1,0.918585,0.929596,0.929596,0.904297
1,0.950284,0.952953,0.94995,0.933912
1,0.916917,0.919586,0.916583,0.896529
1,0.948949,0.954288,0.951952,0.928571
1,0.942609,0.944945,0.944278,0.92608
1,0.948949,0.948615,0.94628,0.935602
1,0.941942,0.952953,0.951952,0.936181
1,0.918585,0.927928,0.928929,0.908909
1,0.912913,0.912913,0.914248,0.90181
1,0.8999,0.912913,0.911245,0.868013
1,0.944611,0.952286,0.951285,0.927415
1,0.917584,0.924925,0.922256,0.910638
1,0.952286,0.953954,0.953954,0.922653
1,0.932599,0.943944,0.941608,0.924168
1,0.934935,0.946613,0.945946,0.912307
1,0.910244,0.91992,0.918252,0.893468
1,0.931932,0.939273,0.939273,0.919406
1,0.936181,0.943856,0.940519,0.939586
1,0.940941,0.948949,0.94628,0.906057
1,0.952953,0.956623,0.951618,0.938517
1,0.926837,0.933845,0.933178,0.92232
1,0.93994,0.936603,0.938605,0.941098
1,0.926927,0.926593,0.921922,0.926837
1,0.941942,0.948282,0.948615,0.914887
1,0.948615,0.947281,0.946613,0.941186
1,0.923257,0.923924,0.92359,0.914462
1,0.938605,0.93627,0.932933,0.935847
1,0.933267,0.931598,0.932266,0.91255
1,0.918585,0.924258,0.92359,0.904114
1,0.929263,0.944945,0.946613,0.919253
1,0.937938,0.952953,0.952619,0.921922
1,0.942943,0.94361,0.94361,0.933578
1,0.917918,0.914248,0.914915,0.90448
1,0.918585,0.932266,0.930931,0.9144
1,0.908242,0.911578,0.910577,0.894434
1,0.93627,0.936937,0.936937,0.913733
1,0.936515,0.951197,0.951531,0.925991
1,0.948949,0.944278,0.945279,0.937604
1,0.908575,0.917918,0.917584,0.880507
1,0.935602,0.950617,0.950617,0.908393
1,0.935936,0.935936,0.935602,0.918071
1,0.926927,0.937604,0.936937,0.920047
1,0.90357,0.908909,0.906907,0.887183
1,0.917251,0.925259,0.924925,0.900142
1,0.933511,0.943188,0.943522,0.918558
1,0.926593,0.929263,0.925592,0.917737
1,0.937938,0.939606,0.940274,0.914157
1,0.921255,0.919586,0.918585,0.906057
1,0.930264,0.932599,0.932599,0.905207
1,0.93994,0.941275,0.940941,0.937516
1,0.92359,0.927261,0.926593,0.907817
1,0.940607,0.956957,0.956623,0.925747
1,0.944611,0.94628,0.94361,0.93518
1,0.947948,0.955289,0.955956,0.944101
1,0.914248,0.92993,0.929596,0.901902
1,0.945612,0.946947,0.948949,0.912064
1,0.955289,0.959293,0.95629,0.942011
1,0.932599,0.948615,0.947614,0.921588
1,0.920921,0.908909,0.905239,0.900142
1,0.917251,0.920921,0.917584,0.899533
1,0.917918,0.937604,0.938605,0.907452
1,0.938939,0.945946,0.944945,0.932577
1,0.930597,0.929263,0.928595,0.91974
1,0.91625,0.918252,0.916583,0.90111
1,0.911912,0.911912,0.911912,0.892374
1,0.954288,0.951285,0.94995,0.939252
1,0.91992,0.920254,0.918919,0.891948
1,0.924591,0.924591,0.922256,0.905815
1,0.937938,0.946947,0.945612,0.923655
1,0.931175,0.945858,0.939852,0.922897
1,0.920254,0.928595,0.92626,0.901051
1,0.914581,0.928262,0.928262,0.886089
1,0.932933,0.921255,0.918252,0.919072
1,0.928595,0.923257,0.922256,0.914643
1,0.944611,0.943944,0.941608,0.945418
1,0.922256,0.9336,0.932599,0.9144
1,0.941275,0.937271,0.93627,0.922294
1,0.928929,0.930264,0.929596,0.907149
1,0.919586,0.92626,0.923257,0.900351
1,0.920254,0.918252,0.915249,0.901051
1,0.913247,0.917918,0.915582,0.903447
1,0.942276,0.93994,0.940274,0.925413
1,0.925926,0.933267,0.930931,0.900476
1,0.931598,0.936937,0.933267,0.923167
1,0.9336,0.945946,0.943944,0.933178
1,0.929263,0.929596,0.927928,0.907726
1,0.944278,0.942276,0.940941,0.922653
1,0.937271,0.948615,0.947281,0.925413
1,0.930264,0.935602,0.935269,0.919559
1,0.924258,0.925592,0.925259,0.897288
1,0.927928,0.925259,0.925592,0.924656
1,0.932266,0.936603,0.935602,0.913914
1,0.932266,0.924258,0.920921,0.913156
1,0.954288,0.952619,0.951952,0.935425
1,0.92884,0.933845,0.930842,0.915888
1,0.922256,0.940941,0.941275,0.915068
1,0.924258,0.925259,0.925259,0.904146
1,0.940607,0.949616,0.94628,0.921165
1,0.920587,0.922589,0.918252,0.901902
1,0.947948,0.952286,0.952619,0.931843
1,0.928262,0.930264,0.930264,0.915464
1,0.933267,0.94361,0.940274,0.912732
1,0.936603,0.928929,0.92993,0.922076
1,0.939606,0.947614,0.944611,0.923411
1,0.931265,0.934935,0.935269,0.925234
1,0.938272,0.943277,0.941608,0.925413
1,0.920254,0.925259,0.924925,0.916465
1,0.928262,0.931265,0.927594,0.917918
1,0.94995,0.955956,0.955622,0.928083
1,0.934268,0.930597,0.930931,0.924412
1,0.949283,0.960627,0.960294,0.922256
1,0.936603,0.924925,0.924925,0.9235
1,0.95996,0.968635,0.968969,0.943346
1,0.929596,0.933267,0.932933,0.923257
1,0.915582,0.923924,0.921922,0.88837
1,0.935269,0.943944,0.942943,0.916709
1,0.951618,0.95629,0.954955,0.939429
1,0.91625,0.921255,0.920587,0.892893
1,0.950284,0.961628,0.961628,0.92766
1,0.930264,0.947948,0.947614,0.905815
1,0.922589,0.920587,0.920254,0.912913
1,0.951618,0.954955,0.954621,0.924502
1,0.910577,0.910244,0.910577,0.881563
1,0.934268,0.933934,0.934268,0.922409
1,0.944611,0.945946,0.945612,0.932844
1,0.937271,0.94361,0.943944,0.925323
1,0.93627,0.932933,0.928929,0.92626
1,0.922589,0.929596,0.928595,0.90202
1,0.918919,0.908909,0.90357,0.904539
1,0.947614,0.94628,0.946947,0.925169
1,0.924258,0.919586,0.91992,0.907149
1,0.926593,0.934935,0.932933,0.910881
1,0.942276,0.942943,0.941608,0.923411
1,0.917918,0.923924,0.924591,0.90721
1,0.934268,0.943277,0.941275,0.912975
1,0.949616,0.955956,0.955289,0.937005
1,0.921832,0.918161,0.914491,0.905875
1,0.927261,0.922256,0.918585,0.897622
1,0.915249,0.920921,0.91992,0.895251
1,0.920254,0.932266,0.92993,0.907574
1,0.930264,0.945612,0.944945,0.91358
1,0.953287,0.96363,0.965299,0.944769
1,0.900142,0.922166,0.923167,0.908879
1,0.936603,0.933267,0.929596,0.925592
1,0.921255,0.928595,0.927594,0.892467
1,0.945191,0.950196,0.950196,0.944927
1,0.924591,0.921922,0.921255,0.914066
1,0.918252,0.937938,0.938272,0.90539
1,0.952619,0.964298,0.964298,0.932421
1,0.91992,0.932266,0.932933,0.911063
1,0.943944,0.949283,0.950284,0.929418
1,0.928595,0.939273,0.933267,0.911487
1,0.934935,0.951952,0.952619,0.905147
1,0.937604,0.944611,0.942276,0.930997
1,0.920921,0.931932,0.928929,0.907726
1,0.933267,0.935936,0.933267,0.917223
1,0.926593,0.921588,0.922589,0.908454
1,0.938272,0.950951,0.950617,0.93142
1,0.932933,0.93627,0.934268,0.918739
1,0.938605,0.942609,0.940941,0.913065
1,0.907574,0.900234,0.895229,0.910729
1,0.942609,0.944611,0.944945,0.927505
1,0.925592,0.922256,0.92359,0.910062
1,0.937604,0.942943,0.942609,0.925747
1,0.946613,0.955956,0.95362,0.931575
1,0.949283,0.962629,0.961295,0.948352
1,0.921922,0.927928,0.928595,0.907483
1,0.936603,0.934601,0.930264,0.91983
1,0.932266,0.943277,0.941275,0.917494
1,0.915916,0.920254,0.91992,0.906725
1,0.944945,0.951952,0.951618,0.918315
1,0.934935,0.928595,0.925259,0.910638
1,0.924925,0.936603,0.938272,0.905815
1,0.925592,0.931265,0.930597,0.906391
