raw,N-std,U-std,z-std,E-std
1,0.897179,0.912731,0.90721,0.886135
1,0.853586,0.842893,0.84315,0.842399
1,0.908994,0.906932,0.908707,0.879504
1,0.891401,0.903781,0.903607,0.875464
1,0.925176,0.929528,0.926604,0.894352
1,0.860772,0.866411,0.861763,0.841992
1,0.901776,0.934352,0.930516,0.890072
1,0.878275,0.897961,0.897311,0.858539
1,0.922444,0.919597,0.916029,0.877171
1,0.912488,0.917689,0.913003,0.903919
1,0.856771,0.890119,0.890059,0.865588
1,0.863129,0.870202,0.87247,0.857919
1,0.843256,0.858844,0.855011,0.819687
1,0.899135,0.926614,0.925761,0.885605
1,0.872819,0.883119,0.8701,0.863299
1,0.929366,0.93909,0.938923,0.875411
1,0.894938,0.908153,0.905948,0.887117
1,0.897324,0.920672,0.919195,0.864464
1,0.851566,0.850972,0.850369,0.851836
1,0.887555,0.921069,0.920907,0.849624
1,0.883467,0.904366,0.900574,0.891852
1,0.867452,0.923131,0.924183,0.830545
1,0.917506,0.920877,0.912686,0.89067
1,0.863377,0.876803,0.878156,0.83579
1,0.888677,0.878603,0.884898,0.886673
1,0.895449,0.893385,0.889177,0.894254
1,0.899795,0.917227,0.917704,0.861556
1,0.91222,0.912043,0.911403,0.905882
1,0.865859,0.873933,0.873423,0.850705
1,0.874035,0.89388,0.885891,0.868562
1,0.87333,0.858095,0.860001,0.860519
1,0.859022,0.870468,0.871773,0.848801
1,0.878214,0.916768,0.921856,0.863828
1,0.890601,0.931597,0.931156,0.881587
1,0.887304,0.906849,0.908746,0.878674
1,0.869481,0.877969,0.878071,0.850297
1,0.884655,0.900923,0.89864,0.87068
1,0.828797,0.854241,0.852301,0.817031
1,0.885274,0.879899,0.879899,0.854572
1,0.879111,0.913223,0.914215,0.87667
1,0.922213,0.908619,0.908368,0.891107
1,0.836357,0.890908,0.888145,0.827792
1,0.899022,0.913763,0.913763,0.857952
1,0.899605,0.898139,0.897902,0.863284
1,0.900379,0.886595,0.88314,0.880125
1,0.840746,0.842511,0.839843,0.823926
1,0.869501,0.884786,0.883966,0.861098
1,0.891458,0.894498,0.888216,0.877539
1,0.858253,0.882958,0.881759,0.848451
1,0.894219,0.898451,0.902701,0.852794
1,0.861385,0.881079,0.884687,0.840229
1,0.870383,0.873478,0.875462,0.795324
1,0.890389,0.883121,0.88285,0.887962
1,0.87605,0.885851,0.883435,0.859515
1,0.898519,0.899749,0.897947,0.865998
1,0.913033,0.915143,0.913353,0.904751
1,0.896196,0.910673,0.909355,0.894438
1,0.868949,0.880067,0.880004,0.849818
1,0.874386,0.885677,0.908317,0.835482
1,0.921963,0.920439,0.890233,0.908849
1,0.843581,0.909233,0.908544,0.841727
1,0.851031,0.833408,0.83004,0.820454
1,0.874788,0.884098,0.880537,0.850074
1,0.895218,0.915681,0.916358,0.879859
1,0.904954,0.918726,0.916525,0.900793
1,0.898711,0.908965,0.908403,0.868946
1,0.867358,0.86936,0.857038,0.831238
1,0.817492,0.818,0.817031,0.802231
1,0.935784,0.925312,0.924447,0.90246
1,0.864203,0.870558,0.868213,0.821798
1,0.875738,0.863528,0.860838,0.86863
1,0.892189,0.907138,0.905035,0.872221
1,0.861337,0.89801,0.880847,0.812866
1,0.853633,0.880576,0.876056,0.832172
1,0.873455,0.899096,0.899705,0.831483
1,0.88363,0.888805,0.87908,0.855331
1,0.861478,0.869709,0.870281,0.835986
1,0.902161,0.919689,0.917841,0.906948
1,0.833669,0.89549,0.891273,0.838864
1,0.911883,0.902696,0.896778,0.879774
1,0.890582,0.879061,0.86393,0.86017
1,0.875213,0.892685,0.888374,0.856015
1,0.889771,0.870646,0.858482,0.846945
1,0.872516,0.876894,0.875293,0.860008
1,0.915554,0.902263,0.901876,0.87851
1,0.860456,0.876135,0.876285,0.827556
1,0.863631,0.904145,0.901201,0.855776
1,0.876722,0.895793,0.895314,0.893971
1,0.872714,0.891619,0.890649,0.840896
1,0.902408,0.898886,0.896719,0.871681
1,0.877765,0.885315,0.884425,0.872966
1,0.854955,0.860331,0.859426,0.846843
1,0.899002,0.896487,0.89784,0.859766
1,0.881767,0.881056,0.882608,0.883265
1,0.872416,0.895259,0.889593,0.841611
1,0.837582,0.856265,0.853286,0.818023
1,0.912329,0.924553,0.922874,0.874203
1,0.89039,0.898432,0.895697,0.860402
1,0.874258,0.900512,0.900063,0.870317
1,0.880545,0.879915,0.879912,0.845741
1,0.902413,0.927096,0.923258,0.858168
1,0.859003,0.877853,0.873121,0.855891
1,0.910746,0.911381,0.911928,0.887954
1,0.890375,0.904368,0.902664,0.870742
1,0.907158,0.907866,0.903081,0.884469
1,0.892517,0.882657,0.884081,0.898518
1,0.895572,0.910371,0.907507,0.874061
1,0.870152,0.886362,0.885307,0.878776
1,0.905133,0.914532,0.912113,0.887069
1,0.841526,0.883981,0.869859,0.839707
1,0.878199,0.874421,0.867729,0.869879
1,0.918088,0.930862,0.92757,0.886234
1,0.888567,0.893287,0.898199,0.878137
1,0.908467,0.93649,0.936264,0.874157
1,0.89313,0.881098,0.862919,0.888774
1,0.927602,0.95096,0.951456,0.903613
1,0.849964,0.879832,0.879876,0.855297
1,0.844577,0.857842,0.854375,0.805944
1,0.887894,0.903434,0.90588,0.852929
1,0.919869,0.935569,0.93724,0.890144
1,0.850973,0.876763,0.872817,0.828915
1,0.913279,0.923831,0.923831,0.870342
1,0.909655,0.925552,0.925502,0.861986
1,0.872701,0.884288,0.891816,0.871238
1,0.924182,0.924436,0.925465,0.846025
1,0.855251,0.86671,0.865649,0.798611
1,0.912866,0.907842,0.907394,0.878421
1,0.90989,0.904644,0.904335,0.889039
1,0.875017,0.910259,0.915394,0.852267
1,0.881539,0.874072,0.865027,0.870384
1,0.848712,0.875057,0.873881,0.814543
1,0.873174,0.86315,0.857298,0.847223
1,0.901973,0.891358,0.891318,0.867314
1,0.883286,0.884549,0.885982,0.871545
1,0.874505,0.919221,0.916932,0.866858
1,0.906038,0.900903,0.898838,0.896328
1,0.840919,0.869569,0.870178,0.825493
1,0.908775,0.917531,0.914817,0.87293
1,0.898744,0.90802,0.900369,0.881967
1,0.852337,0.875965,0.867785,0.836088
1,0.843447,0.840616,0.836395,0.806909
1,0.854188,0.857136,0.85878,0.804333
1,0.866125,0.878969,0.876862,0.829322
1,0.864121,0.891865,0.89199,0.813918
1,0.914127,0.947463,0.956532,0.888022
