alpha,raw,N-std,U-std,z-std,E-std
0.001,0.4021742336,0.4413897302,0.4269277252,0.4251955798,0.4411420512
0.002,0.4312583213,0.4694668047,0.4551276313,0.4533844755,0.469679937
0.003,0.4499201397,0.4872685928,0.4731162725,0.4713819863,0.4876723753
0.004,0.4639569148,0.5005175867,0.4866079571,0.4848908902,0.5010783518
0.005,0.4753278707,0.5112107026,0.4975011698,0.4958093609,0.5118631743
0.006,0.4849651341,0.5202182567,0.5066933806,0.505036637,0.5209419673
0.007,0.4933308563,0.5280155134,0.5146831304,0.5130459935,0.5288141328
0.008,0.5007502785,0.53493283,0.5217640891,0.5201493692,0.5357665664
0.009,0.5074559811,0.5411481761,0.5281561525,0.526567846,0.5420108898
0.01,0.5135507093,0.5468127067,0.5339692966,0.5324024977,0.5476996299
0.02,0.5566972179,0.5866598241,0.5749911155,0.5736072884,0.5875389107
0.03,0.584508193,0.6123580747,0.6014657703,0.6002220399,0.6131264194
0.04,0.6056188242,0.6318533569,0.6215284866,0.6203791905,0.6325111473
0.05,0.6228711811,0.6477696576,0.6378793917,0.6368219983,0.6482624323
0.06,0.6375654899,0.6613782693,0.6518711622,0.6508853773,0.6617197085
0.07,0.6504685111,0.6733184347,0.6641266903,0.6632056876,0.6735186526
0.08,0.6620045802,0.6840006666,0.6750949609,0.6742325525,0.6840647133
0.09,0.6724931227,0.6937130975,0.6850604768,0.684249216,0.6936346435
0.1,0.6821179303,0.7026057974,0.6942071125,0.6934491918,0.7024590776
