raw,N-std,U-std,z-std,E-std
1,0.980571,0.996557,0.996617,0.965872
1,0.982082,0.996362,0.996528,0.968625
1,0.978158,0.996466,0.9972,0.966803
1,0.988176,0.99818,0.997862,0.973733
1,0.975962,0.996398,0.996583,0.960301
1,0.986107,0.997196,0.997131,0.977397
1,0.983542,0.998136,0.997916,0.97243
1,0.987533,0.998157,0.997971,0.976169
1,0.983123,0.998831,0.998588,0.964617
1,0.981281,0.997467,0.997245,0.968381
1,0.978585,0.997127,0.997232,0.96348
1,0.984877,0.997882,0.998236,0.972875
1,0.985092,0.998145,0.998231,0.972506
1,0.984293,0.997737,0.997038,0.975175
1,0.982209,0.997633,0.997629,0.97081
1,0.980375,0.997768,0.997698,0.963708
1,0.982065,0.997214,0.997304,0.965437
1,0.981958,0.997274,0.997574,0.970657
1,0.982852,0.997099,0.997433,0.971254
1,0.980562,0.996952,0.996935,0.965405
1,0.985808,0.997763,0.99783,0.974495
1,0.984137,0.998698,0.99863,0.973838
1,0.982476,0.997279,0.997645,0.970805
1,0.983604,0.998104,0.998728,0.971096
1,0.984833,0.998422,0.998744,0.973767
1,0.982103,0.997381,0.998062,0.969589
1,0.981019,0.996626,0.99652,0.964785
1,0.983205,0.997987,0.997918,0.970549
1,0.981195,0.998645,0.999112,0.96918
1,0.982931,0.998012,0.998204,0.966878
1,0.983011,0.997184,0.997292,0.972386
1,0.985077,0.997442,0.997662,0.973867
1,0.98091,0.998299,0.998702,0.965151
1,0.98468,0.99577,0.996334,0.975278
1,0.984563,0.997905,0.997805,0.967832
1,0.985234,0.998107,0.998068,0.971039
1,0.978763,0.99775,0.998407,0.964313
1,0.987721,0.99799,0.998279,0.977206
1,0.983724,0.998218,0.998602,0.973452
1,0.979969,0.998323,0.998615,0.965966
1,0.984265,0.998299,0.99845,0.969914
1,0.983375,0.996887,0.997054,0.971109
1,0.984206,0.997832,0.997863,0.973914
1,0.983223,0.997803,0.997899,0.971811
1,0.977587,0.996288,0.996978,0.968787
1,0.983023,0.996262,0.996313,0.972395
1,0.975397,0.996992,0.997324,0.963834
1,0.97866,0.997261,0.997722,0.964202
1,0.981225,0.997668,0.997967,0.968217
1,0.981049,0.998414,0.998589,0.967234
1,0.982408,0.997733,0.998054,0.969913
1,0.983547,0.997279,0.997356,0.970062
1,0.982286,0.998412,0.99872,0.971082
1,0.980285,0.997515,0.997672,0.96703
1,0.979172,0.996953,0.996794,0.968912
1,0.982045,0.997456,0.997629,0.967001
1,0.97798,0.997028,0.997608,0.963869
1,0.98056,0.995932,0.995981,0.967159
1,0.982084,0.997518,0.997912,0.970849
1,0.981526,0.996496,0.997056,0.969922
1,0.980668,0.996678,0.997141,0.970006
1,0.987352,0.997875,0.997879,0.976519
1,0.984039,0.997797,0.997322,0.969072
1,0.978067,0.997098,0.997201,0.963315
1,0.984833,0.997627,0.997805,0.972846
1,0.980391,0.997802,0.998278,0.970031
1,0.986267,0.997831,0.997931,0.978281
1,0.983861,0.996497,0.99694,0.970714
1,0.985248,0.997899,0.997597,0.971534
1,0.981647,0.997742,0.998009,0.967995
1,0.982869,0.997007,0.997134,0.970672
1,0.978501,0.99744,0.99783,0.958233
1,0.977667,0.997279,0.998381,0.960443
1,0.984707,0.998044,0.998363,0.974557
1,0.981957,0.998708,0.998986,0.974975
1,0.97637,0.997417,0.998178,0.959614
1,0.980174,0.9974,0.996754,0.964723
1,0.982719,0.998209,0.998377,0.966687
1,0.98071,0.99684,0.996804,0.966816
1,0.980448,0.997162,0.99743,0.967597
1,0.98319,0.997643,0.99796,0.969674
1,0.983148,0.998109,0.998347,0.969197
1,0.980816,0.996452,0.996691,0.968721
1,0.983322,0.99826,0.998335,0.97252
1,0.982688,0.997231,0.997039,0.973423
1,0.975929,0.996918,0.998303,0.964593
1,0.985787,0.998159,0.998296,0.973991
1,0.983452,0.996071,0.996534,0.970196
1,0.97825,0.996283,0.996125,0.966923
1,0.982945,0.998019,0.99819,0.968528
1,0.981095,0.997529,0.997664,0.966628
1,0.982475,0.997775,0.998219,0.971893
1,0.98159,0.997085,0.99712,0.970131
1,0.981355,0.998643,0.998221,0.965845
1,0.981952,0.997226,0.997428,0.970208
1,0.986538,0.998193,0.998272,0.977819
1,0.984644,0.997959,0.997699,0.972689
1,0.983629,0.997691,0.997592,0.972334
1,0.97738,0.998252,0.998759,0.962878
1,0.987114,0.99613,0.996101,0.97905
1,0.978781,0.998066,0.998344,0.964205
1,0.981983,0.995105,0.995579,0.970377
1,0.983861,0.996125,0.996361,0.972246
1,0.980125,0.997097,0.997705,0.970322
1,0.98637,0.997348,0.997222,0.974898
1,0.980554,0.99676,0.997302,0.968377
1,0.983213,0.997782,0.998209,0.968716
1,0.982843,0.998362,0.998422,0.969101
1,0.982105,0.996401,0.996752,0.970001
1,0.983325,0.997112,0.997256,0.972654
1,0.981475,0.997718,0.99799,0.969874
1,0.978334,0.997404,0.997916,0.963802
1,0.981018,0.995343,0.996189,0.968421
1,0.981698,0.997745,0.998071,0.968793
1,0.984161,0.997908,0.997848,0.972908
1,0.982856,0.997154,0.997243,0.969361
1,0.982256,0.997835,0.998132,0.96937
1,0.984185,0.997055,0.997297,0.976734
1,0.982147,0.996967,0.997275,0.969427
1,0.984842,0.998354,0.998408,0.973451
1,0.982887,0.997191,0.997449,0.969655
