raw,N-std,U-std,z-std,E-std
1,0.925592,0.942276,0.942609,0.906391
1,0.945279,0.952619,0.950951,0.902052
1,0.91625,0.92993,0.930264,0.906148
1,0.946613,0.965632,0.965632,0.90357
1,0.932844,0.948194,0.948194,0.916646
1,0.932266,0.946947,0.946613,0.93024
1,0.93518,0.947193,0.947526,0.908545
1,0.957958,0.968302,0.968635,0.930931
1,0.950617,0.965966,0.965966,0.922256
1,0.934179,0.944857,0.946192,0.907118
1,0.93627,0.954955,0.954955,0.913218
1,0.955289,0.959626,0.960627,0.935425
1,0.950617,0.956623,0.957958,0.931998
1,0.949283,0.961628,0.960961,0.928661
1,0.955289,0.96363,0.961628,0.913733
1,0.938939,0.957291,0.957958,0.915311
1,0.93627,0.952953,0.952286,0.906816
1,0.929596,0.957291,0.957958,0.91974
1,0.94628,0.952619,0.952619,0.924835
1,0.91992,0.938272,0.938939,0.897922
1,0.932599,0.950284,0.950284,0.919136
1,0.961628,0.967968,0.967301,0.929507
1,0.937938,0.950617,0.949616,0.911458
1,0.961962,0.968969,0.967968,0.929841
1,0.944611,0.957958,0.959626,0.922897
1,0.945612,0.952953,0.953287,0.923077
1,0.931509,0.947526,0.948528,0.895861
1,0.95362,0.962963,0.961962,0.929418
1,0.950284,0.970971,0.971638,0.935091
1,0.947281,0.94995,0.94995,0.944927
1,0.935602,0.94995,0.950617,0.90624
1,0.938939,0.956957,0.956957,0.914553
1,0.951618,0.95629,0.956623,0.936426
1,0.925592,0.947614,0.947614,0.921652
1,0.952953,0.957291,0.956623,0.909637
1,0.94628,0.94628,0.948615,0.923411
1,0.954288,0.961628,0.961962,0.936848
1,0.949616,0.950617,0.950951,0.910729
1,0.947281,0.961628,0.961962,0.93251
1,0.947281,0.952953,0.95362,0.936426
1,0.960294,0.968635,0.967634,0.934491
1,0.933267,0.952953,0.951952,0.917313
1,0.9336,0.957291,0.957624,0.919559
1,0.940274,0.957291,0.957958,0.915158
1,0.932599,0.95362,0.95362,0.916159
1,0.926593,0.937938,0.936937,0.909637
1,0.938605,0.952286,0.952619,0.910153
1,0.918252,0.941942,0.942276,0.91431
1,0.937849,0.957871,0.958872,0.924078
1,0.950617,0.969636,0.970304,0.905783
1,0.941942,0.953287,0.954621,0.928995
1,0.943944,0.955289,0.955289,0.924078
1,0.953287,0.965299,0.965632,0.923744
1,0.952286,0.955622,0.954955,0.928482
1,0.947526,0.966213,0.96588,0.92223
1,0.947281,0.965299,0.964631,0.933934
1,0.937938,0.941275,0.941608,0.918468
1,0.907908,0.924258,0.924591,0.897288
1,0.940607,0.950617,0.951618,0.917404
1,0.945612,0.954621,0.954621,0.939518
1,0.921255,0.939606,0.938939,0.899808
1,0.937271,0.942943,0.942943,0.883511
1,0.931265,0.947614,0.946947,0.879266
1,0.942943,0.960961,0.960627,0.916736
1,0.932266,0.945946,0.945946,0.903479
1,0.963297,0.969303,0.969303,0.935915
1,0.933267,0.951952,0.952286,0.938428
