raw,N-std,U-std,z-std,E-std
1,0.878973,0.894466,0.89446,0.836331
1,0.898899,0.908951,0.907539,0.814361
1,0.892772,0.909454,0.909627,0.87981
1,0.934291,0.955759,0.955752,0.858437
1,0.903262,0.923472,0.923479,0.854242
1,0.879625,0.90816,0.907938,0.884055
1,0.917124,0.930986,0.931247,0.876658
1,0.925287,0.929045,0.92922,0.872129
1,0.930614,0.957476,0.957417,0.857097
1,0.909264,0.921135,0.921972,0.862196
1,0.901103,0.920932,0.920723,0.88084
1,0.940462,0.949397,0.95003,0.900153
1,0.910729,0.920095,0.921147,0.888258
1,0.929506,0.943645,0.943099,0.890608
1,0.947198,0.952,0.950611,0.860467
1,0.883729,0.92145,0.922164,0.874632
1,0.880622,0.912872,0.912407,0.846975
1,0.903116,0.938891,0.939237,0.87976
1,0.922109,0.931629,0.931585,0.867158
1,0.885187,0.91405,0.914522,0.824792
1,0.891445,0.926932,0.926897,0.870225
1,0.934305,0.943835,0.943403,0.865392
1,0.888794,0.906958,0.906001,0.831048
1,0.920499,0.934749,0.933871,0.859269
1,0.903947,0.933006,0.93418,0.862974
1,0.921696,0.924683,0.924883,0.873909
1,0.889172,0.906757,0.907277,0.84331
1,0.930434,0.948343,0.947641,0.88744
1,0.904654,0.940178,0.94061,0.869659
1,0.915578,0.929444,0.929446,0.887867
1,0.9072,0.923343,0.923697,0.844604
1,0.904487,0.932741,0.932734,0.853727
1,0.92553,0.933438,0.933848,0.898063
1,0.88268,0.913433,0.913433,0.863994
1,0.914007,0.93458,0.934228,0.844745
1,0.936663,0.936355,0.938265,0.903442
1,0.933989,0.943699,0.943912,0.911245
1,0.933165,0.928119,0.928333,0.876099
1,0.919074,0.943154,0.943337,0.900091
1,0.903358,0.919877,0.920229,0.908625
1,0.942302,0.951599,0.950876,0.896791
1,0.899885,0.927496,0.926638,0.864712
1,0.900404,0.930067,0.930278,0.858642
1,0.913147,0.918185,0.918645,0.850324
1,0.896176,0.922281,0.922116,0.851618
1,0.897997,0.90666,0.905766,0.858813
1,0.918293,0.933774,0.933972,0.861446
1,0.872858,0.908837,0.909158,0.865087
1,0.905242,0.934854,0.935427,0.855672
1,0.922115,0.955336,0.955805,0.855741
1,0.920383,0.940177,0.941194,0.893853
1,0.915956,0.923609,0.923609,0.87043
1,0.924361,0.936188,0.936381,0.849843
1,0.923443,0.922372,0.921895,0.876463
1,0.928947,0.952432,0.952107,0.886755
1,0.907213,0.929268,0.928921,0.871701
1,0.876196,0.913439,0.913615,0.86692
1,0.838577,0.887619,0.887851,0.834111
1,0.917252,0.926597,0.927239,0.871881
1,0.920765,0.934262,0.934007,0.859683
1,0.877468,0.915242,0.91459,0.836909
1,0.893103,0.899989,0.899972,0.819469
1,0.889865,0.909432,0.908954,0.831115
1,0.917164,0.939055,0.938743,0.858653
1,0.911009,0.924181,0.924214,0.868144
1,0.930285,0.938805,0.938805,0.899503
1,0.896062,0.919336,0.919393,0.902417
1,0.924876,0.922237,0.922412,0.899838
1,0.910009,0.935079,0.935379,0.866023
1,0.886515,0.909243,0.909062,0.85903
1,0.90045,0.908748,0.908558,0.892885
1,0.923981,0.943874,0.944051,0.887955
1,0.927946,0.946073,0.946811,0.882868
1,0.881188,0.920607,0.920616,0.879835
1,0.918135,0.941371,0.941124,0.89833
1,0.919684,0.93778,0.938253,0.854341
1,0.927126,0.928851,0.927963,0.85602
1,0.950973,0.950048,0.952404,0.898949
1,0.923101,0.931532,0.931072,0.880499
1,0.895078,0.946768,0.945949,0.867513
1,0.916072,0.943297,0.942946,0.85971
1,0.928056,0.933502,0.934562,0.909315
1,0.902294,0.908644,0.907751,0.896264
1,0.909262,0.927909,0.928469,0.87998
1,0.917475,0.936346,0.936519,0.877204
1,0.914229,0.931777,0.93219,0.901956
1,0.907751,0.935634,0.9375,0.881632
1,0.887495,0.922715,0.922895,0.822651
1,0.889761,0.937247,0.936521,0.884361
1,0.909381,0.940891,0.940778,0.885805
1,0.902382,0.916108,0.916076,0.861335
1,0.932198,0.938694,0.939273,0.878366
1,0.901842,0.930308,0.929882,0.872621
1,0.907173,0.939046,0.938298,0.866621
1,0.90525,0.923646,0.92316,0.882472
1,0.90633,0.910127,0.911173,0.853851
1,0.914023,0.944156,0.944002,0.866905
1,0.892218,0.915652,0.915016,0.868547
1,0.914804,0.931954,0.932276,0.874765
1,0.912567,0.918826,0.91904,0.858609
1,0.882351,0.900848,0.901025,0.864018
1,0.895704,0.915767,0.916241,0.832389
1,0.90061,0.920993,0.921971,0.859861
1,0.909686,0.935792,0.936506,0.884851
1,0.891633,0.904234,0.904792,0.870644
1,0.922251,0.939023,0.93904,0.888022
1,0.921422,0.943318,0.943681,0.883941
1,0.911745,0.940912,0.941513,0.822418
1,0.900177,0.924722,0.924526,0.870783
1,0.888282,0.910922,0.911355,0.848648
1,0.902721,0.940693,0.940118,0.891793
1,0.892557,0.916621,0.917426,0.856913
1,0.908716,0.939125,0.938936,0.869545
1,0.893801,0.920965,0.921606,0.857744
1,0.929479,0.947104,0.946501,0.881706
1,0.894187,0.926958,0.927665,0.863294
1,0.90725,0.92802,0.927701,0.851151
1,0.908728,0.917522,0.917524,0.878898
1,0.926986,0.933982,0.933253,0.898664
1,0.924558,0.93633,0.935711,0.884252
1,0.920103,0.927831,0.927828,0.88493
1,0.909599,0.925685,0.925215,0.857654
1,0.928457,0.942239,0.942239,0.883609
