alpha,raw,N-std,U-std,z-std,E-std
0.001,0.4844993994,0.4872216941,0.4821648074,0.4789932749,0.4929022411
0.002,0.5140853018,0.5151202805,0.5107577591,0.5074120246,0.5208094023
0.003,0.5321858443,0.532563498,0.5285283044,0.5251290687,0.5381028447
0.004,0.5454459588,0.5454279218,0.5416331078,0.5382283628,0.5508747514
0.005,0.5559696739,0.5557763378,0.552157213,0.5487577615,0.5610732766
0.006,0.5647279219,0.5644325099,0.5608999432,0.5575059045,0.5695746424
0.007,0.5722446957,0.5718886839,0.5684184124,0.5650329462,0.5769301598
0.008,0.5788342108,0.5784856257,0.5750579786,0.5717005934,0.583444207
0.009,0.5847514209,0.5844258976,0.5809900037,0.5776479206,0.5892521871
0.01,0.5901049751,0.5897854645,0.5863900543,0.5830588493,0.5945309854
0.02,0.626747922,0.6272868912,0.6239660652,0.6208102222,0.6311525142
0.03,0.6497598398,0.6512111485,0.6477921887,0.6447471044,0.654446995
0.04,0.6669653498,0.6691552436,0.6657014168,0.6627493976,0.6719405443
0.05,0.6808696692,0.6837310924,0.6802058472,0.6773455681,0.6861244265
0.06,0.6926716918,0.6960490628,0.6925272095,0.6897320766,0.6981272671
0.07,0.7030119158,0.7068498391,0.7033470523,0.7006064531,0.708666447
0.08,0.7122477585,0.7164628457,0.7129970006,0.7103018573,0.7180444284
0.09,0.7206206591,0.7251531737,0.7217573254,0.7190984709,0.7265450868
0.1,0.7283141042,0.7331419666,0.729803227,0.7271957442,0.7343604434
