raw,N-std,U-std,z-std,E-std
1,0.987758,0.999328,0.999181,0.979941
1,0.986924,0.99761,0.997281,0.978128
1,0.98677,0.998127,0.998057,0.978472
1,0.986438,0.998453,0.998218,0.979797
1,0.98833,0.998523,0.998256,0.980972
1,0.988596,0.997827,0.997434,0.982275
1,0.988035,0.99927,0.999214,0.982979
1,0.990093,0.998398,0.998174,0.984098
1,0.989522,0.997481,0.997186,0.982337
1,0.984553,0.998987,0.998842,0.975178
1,0.990137,0.998529,0.998394,0.983535
1,0.988142,0.998263,0.998024,0.981038
1,0.98685,0.998776,0.998603,0.977923
1,0.987123,0.997583,0.997411,0.981267
1,0.986634,0.998888,0.998817,0.977777
1,0.98921,0.996694,0.996308,0.984616
1,0.986266,0.998441,0.998259,0.978741
1,0.988348,0.999096,0.999067,0.981457
1,0.988537,0.998655,0.998459,0.9812
1,0.991085,0.997472,0.997222,0.986569
1,0.990441,0.998343,0.99816,0.984637
1,0.985592,0.997781,0.997607,0.975256
1,0.986654,0.997743,0.99753,0.977731
1,0.988574,0.9975,0.997185,0.98186
1,0.987823,0.999044,0.998812,0.978866
1,0.987134,0.998177,0.997876,0.980138
1,0.987285,0.997648,0.997267,0.983593
1,0.986,0.999091,0.998967,0.977363
1,0.988627,0.99882,0.998799,0.980377
1,0.988866,0.997814,0.997501,0.985247
1,0.989792,0.998475,0.998297,0.983347
1,0.984461,0.998901,0.998734,0.974478
1,0.988874,0.998662,0.998489,0.983366
1,0.985428,0.99852,0.998387,0.978035
1,0.989049,0.99856,0.998382,0.982323
1,0.990173,0.99872,0.99855,0.984976
1,0.986669,0.997679,0.997343,0.977899
1,0.987804,0.996962,0.996749,0.982702
1,0.983752,0.996945,0.996601,0.976541
1,0.986243,0.998989,0.998832,0.974527
1,0.990241,0.996502,0.995739,0.985537
1,0.988492,0.995549,0.995077,0.983834
1,0.988398,0.998237,0.998127,0.97966
1,0.989012,0.998748,0.998531,0.981202
1,0.984058,0.997033,0.996664,0.975604
1,0.989177,0.998136,0.998006,0.981096
1,0.989213,0.997118,0.996871,0.981276
1,0.987852,0.997181,0.997053,0.981021
1,0.987686,0.998343,0.998149,0.977847
1,0.9881,0.99807,0.997795,0.981261
1,0.983222,0.997632,0.997517,0.970915
1,0.985884,0.99817,0.997902,0.977914
1,0.990299,0.998869,0.998491,0.984578
1,0.987738,0.998908,0.998846,0.978285
1,0.987312,0.999337,0.999309,0.975511
1,0.986683,0.997713,0.997408,0.981833
1,0.987354,0.997238,0.996904,0.981496
1,0.989648,0.99795,0.997741,0.984247
1,0.987692,0.999097,0.999072,0.978818
1,0.985857,0.998369,0.997851,0.978544
