raw,N-std,U-std,z-std,E-std
1,0.957377,0.96612,0.965027,0.92211
1,0.95847,0.95082,0.947541,0.953005
1,0.922404,0.936612,0.937705,0.879781
1,0.948634,0.963934,0.960656,0.929762
1,0.907104,0.935519,0.933333,0.880568
1,0.945355,0.942077,0.930055,0.90929
1,0.935519,0.955191,0.955191,0.900546
1,0.903825,0.918033,0.915847,0.876675
1,0.949727,0.944262,0.938798,0.933042
1,0.955191,0.957377,0.956284,0.950533
1,0.947541,0.949727,0.949727,0.902432
1,0.946448,0.947541,0.943169,0.951626
1,0.948634,0.962842,0.953005,0.904619
1,0.947541,0.942077,0.939891,0.920219
1,0.955191,0.957377,0.957377,0.945067
1,0.922404,0.921311,0.920219,0.914458
1,0.945355,0.940984,0.936612,0.915847
1,0.955191,0.957377,0.957377,0.930855
1,0.953005,0.970492,0.968306,0.935228
1,0.931148,0.931148,0.926776,0.903526
1,0.95847,0.942077,0.940984,0.927869
1,0.955191,0.962842,0.961749,0.930563
1,0.925683,0.934426,0.933333,0.907301
1,0.949727,0.948634,0.944262,0.925683
1,0.96612,0.96612,0.957377,0.941787
1,0.936612,0.953005,0.953005,0.913067
1,0.877596,0.892896,0.891803,0.869637
1,0.947541,0.965027,0.961749,0.909787
1,0.925683,0.939891,0.939891,0.921311
1,0.91694,0.925683,0.92459,0.901339
1,0.954098,0.962842,0.961749,0.916644
1,0.933333,0.943169,0.940984,0.901639
1,0.948634,0.955191,0.954098,0.936612
1,0.904918,0.938798,0.937705,0.878689
1,0.949727,0.945355,0.940984,0.914458
1,0.943169,0.943169,0.939891,0.916348
1,0.92459,0.928962,0.928962,0.902926
1,0.920219,0.946448,0.945355,0.883848
1,0.865574,0.891803,0.887432,0.852145
1,0.957377,0.95847,0.955191,0.934426
1,0.938798,0.945355,0.939891,0.916644
1,0.879781,0.913661,0.912568,0.860109
1,0.95082,0.942077,0.942077,0.908992
1,0.922404,0.949727,0.947541,0.866357
1,0.922404,0.927869,0.925683,0.904319
1,0.951913,0.947541,0.948634,0.925096
1,0.931148,0.933333,0.928962,0.9076
1,0.906011,0.938798,0.938798,0.881967
1,0.95082,0.956284,0.956284,0.920219
1,0.873224,0.925683,0.919126,0.833561
1,0.933333,0.956284,0.955191,0.896966
1,0.93224,0.953005,0.949727,0.911974
1,0.963934,0.95082,0.944262,0.913661
1,0.965027,0.963934,0.959563,0.913661
1,0.95082,0.967213,0.96612,0.912568
1,0.948634,0.936612,0.933333,0.927283
1,0.904918,0.907104,0.907104,0.874317
1,0.925683,0.936612,0.937705,0.912271
1,0.946448,0.957377,0.956284,0.905413
1,0.923497,0.935519,0.93224,0.891803
1,0.941787,0.933042,0.926483,0.892291
1,0.937705,0.946448,0.942077,0.92211
1,0.938798,0.944262,0.939891,0.892594
1,0.931148,0.942077,0.938798,0.906805
1,0.946448,0.959563,0.955191,0.91694
1,0.95082,0.948634,0.943169,0.935228
1,0.942077,0.949727,0.946448,0.927576
1,0.934426,0.91694,0.913661,0.91088
1,0.95847,0.942077,0.936612,0.949727
1,0.922404,0.930055,0.927869,0.908992
1,0.951913,0.961749,0.961749,0.91883
1,0.931148,0.926776,0.926776,0.902432
1,0.939891,0.93224,0.930055,0.91694
1,0.930055,0.934426,0.933333,0.91088
1,0.968306,0.970492,0.970492,0.945872
1,0.951913,0.945355,0.938798,0.925896
1,0.919126,0.92459,0.92459,0.911178
1,0.926776,0.936612,0.936612,0.903825
1,0.961749,0.963934,0.963934,0.942077
