raw,N-std,U-std,z-std,E-std
1,0.913005,0.959105,0.959479,0.889373
1,0.91728,0.92621,0.919038,0.899661
1,0.890976,0.906887,0.907442,0.804117
1,0.912346,0.946151,0.926322,0.881463
1,0.855431,0.882947,0.876926,0.806341
1,0.896192,0.916741,0.902386,0.832929
1,0.875951,0.929128,0.929128,0.832456
1,0.871996,0.8815,0.895977,0.829461
1,0.934486,0.890191,0.884151,0.872325
1,0.91638,0.915319,0.914638,0.939507
1,0.913419,0.919446,0.919446,0.856819
1,0.910971,0.928785,0.925164,0.898808
1,0.877876,0.939731,0.917926,0.818491
1,0.910644,0.921878,0.920254,0.853828
1,0.939604,0.935877,0.935877,0.899907
1,0.905827,0.89824,0.895535,0.891137
1,0.910209,0.924259,0.920977,0.863021
1,0.911182,0.930369,0.930369,0.874985
1,0.891553,0.941927,0.932285,0.874252
1,0.845313,0.842417,0.837328,0.810527
1,0.931864,0.930501,0.91939,0.89037
1,0.910401,0.940091,0.931758,0.869508
1,0.889276,0.917737,0.914682,0.859066
1,0.938195,0.936571,0.933593,0.896684
1,0.91919,0.961267,0.953781,0.864845
1,0.888513,0.906702,0.906702,0.847776
1,0.828581,0.864456,0.863724,0.81415
1,0.912392,0.937847,0.931386,0.856178
1,0.892947,0.926986,0.926986,0.858883
1,0.886574,0.893645,0.891435,0.852582
1,0.924682,0.938143,0.937587,0.858587
1,0.905083,0.922171,0.920336,0.855226
1,0.904281,0.922027,0.917444,0.873863
1,0.839307,0.914796,0.91174,0.805767
1,0.937809,0.918759,0.915672,0.849667
1,0.904213,0.924512,0.914558,0.863687
1,0.857727,0.863093,0.868141,0.829137
1,0.890562,0.910227,0.897727,0.837842
1,0.807494,0.859665,0.845641,0.76556
1,0.929269,0.935945,0.933293,0.85632
1,0.857206,0.882569,0.876436,0.843809
1,0.807353,0.878486,0.877798,0.783498
1,0.914193,0.907367,0.907367,0.887425
1,0.882127,0.93919,0.936083,0.807059
1,0.833496,0.888395,0.886831,0.8059
1,0.894668,0.90302,0.903576,0.861815
1,0.875685,0.869963,0.866293,0.835844
1,0.85142,0.905191,0.905191,0.829256
1,0.908455,0.894733,0.894733,0.862334
1,0.764654,0.86287,0.856838,0.711811
1,0.907626,0.945449,0.943167,0.865206
1,0.864503,0.92664,0.923141,0.808629
1,0.90566,0.934393,0.926973,0.819074
1,0.949567,0.942282,0.937704,0.822888
1,0.883506,0.931192,0.927323,0.834603
1,0.906456,0.895559,0.88923,0.85349
1,0.838838,0.873721,0.873721,0.796148
1,0.864926,0.896424,0.903368,0.865809
1,0.882009,0.917858,0.917178,0.838891
1,0.876044,0.9232,0.916069,0.841014
1,0.903069,0.901362,0.892695,0.795495
1,0.902473,0.928676,0.919749,0.860294
1,0.886163,0.892712,0.881406,0.839775
1,0.870712,0.87375,0.870076,0.857519
1,0.922254,0.947043,0.942347,0.884393
1,0.898452,0.906103,0.897735,0.850481
1,0.903037,0.926973,0.924824,0.89074
1,0.889702,0.866101,0.860769,0.843545
1,0.902348,0.911038,0.905428,0.891629
1,0.911171,0.921316,0.901852,0.870009
1,0.907574,0.926837,0.926837,0.844584
1,0.904829,0.903299,0.903299,0.823397
1,0.878479,0.911146,0.909088,0.85407
1,0.88664,0.895011,0.894346,0.87637
1,0.933603,0.966997,0.966997,0.849593
1,0.892954,0.907015,0.902089,0.818093
1,0.8849,0.890013,0.890013,0.859211
1,0.907811,0.911753,0.911753,0.864058
1,0.919003,0.93409,0.93409,0.866579
1,0.80269,0.843779,0.838653,0.776555
1,0.860598,0.882431,0.862447,0.810597
1,0.861353,0.853353,0.848562,0.799738
1,0.834917,0.909023,0.905088,0.790711
1,0.888735,0.894237,0.892168,0.83478
1,0.897597,0.925164,0.925164,0.852312
1,0.957214,0.949317,0.948504,0.881369
1,0.863837,0.920941,0.917601,0.814817
1,0.885634,0.893398,0.891807,0.823516
1,0.838386,0.894886,0.894886,0.830958
1,0.871692,0.888234,0.886861,0.843872
1,0.870069,0.879217,0.876001,0.838172
1,0.866981,0.910408,0.910408,0.822129
1,0.879975,0.907143,0.893254,0.854231
1,0.917796,0.931174,0.931174,0.890819
1,0.903962,0.936697,0.929412,0.827751
1,0.863112,0.894669,0.892772,0.871048
1,0.881769,0.886772,0.886772,0.823934
1,0.886764,0.91433,0.911973,0.872747
1,0.908632,0.916083,0.912559,0.880017
1,0.843895,0.893912,0.867493,0.827113
1,0.891556,0.92839,0.923212,0.828355
1,0.898829,0.890919,0.886872,0.854137
1,0.836753,0.899775,0.899775,0.786254
1,0.869267,0.888241,0.887561,0.83655
1,0.880547,0.887659,0.893635,0.81243
1,0.949981,0.964045,0.96108,0.879784
1,0.908992,0.932707,0.932707,0.875309
1,0.905517,0.908604,0.908604,0.874618
1,0.903988,0.897661,0.890617,0.842177
1,0.876751,0.928606,0.922335,0.864015
1,0.864782,0.881806,0.880391,0.877959
1,0.875457,0.865595,0.859642,0.811573
1,0.863183,0.903548,0.903548,0.828478
1,0.882835,0.894709,0.891939,0.861313
1,0.911201,0.939902,0.938374,0.874606
1,0.900854,0.933133,0.921188,0.895771
1,0.911658,0.927225,0.924406,0.862724
1,0.833968,0.903678,0.901973,0.824597
1,0.884757,0.905388,0.889879,0.825221
1,0.833373,0.868612,0.866219,0.829959
1,0.868827,0.903051,0.898242,0.744398
1,0.882524,0.872184,0.876138,0.850471
1,0.891638,0.878859,0.867844,0.842604
1,0.907686,0.898485,0.898485,0.883998
1,0.845411,0.886188,0.881869,0.838309
1,0.850185,0.900097,0.909249,0.847717
1,0.895128,0.92098,0.92098,0.861855
1,0.893773,0.919855,0.919855,0.835969
1,0.876271,0.907016,0.904738,0.864918
1,0.905343,0.916392,0.91192,0.834231
1,0.873716,0.915826,0.912589,0.815267
1,0.880233,0.886146,0.872302,0.758012
1,0.915812,0.906017,0.903866,0.858121
1,0.898664,0.93061,0.93061,0.840854
1,0.853158,0.918115,0.914808,0.852319
1,0.912969,0.927837,0.92447,0.844227
1,0.872903,0.899582,0.8989,0.858248
1,0.897211,0.907434,0.897456,0.8345
1,0.920292,0.923449,0.919216,0.900215
1,0.880548,0.922717,0.922717,0.834956
1,0.883394,0.929282,0.929282,0.851979
1,0.907227,0.892604,0.88975,0.879382
1,0.902084,0.97076,0.970727,0.874262
1,0.870481,0.865327,0.862859,0.808341
1,0.860986,0.887516,0.884597,0.832914
1,0.882315,0.916036,0.905742,0.853708
1,0.909545,0.908893,0.906076,0.856064
1,0.889328,0.927526,0.919378,0.829874
1,0.883353,0.908133,0.895703,0.858664
1,0.90985,0.930303,0.926385,0.863696
1,0.89496,0.90615,0.88865,0.884251
1,0.894877,0.875099,0.874377,0.865499
1,0.858933,0.868375,0.852312,0.762597
1,0.928109,0.911285,0.918785,0.876936
1,0.832046,0.855165,0.846261,0.811673
1,0.850805,0.851799,0.838518,0.808256
1,0.891121,0.903149,0.89921,0.870501
1,0.907005,0.931816,0.933152,0.886205
1,0.884416,0.864288,0.856907,0.849243
1,0.86012,0.908378,0.904046,0.820098
1,0.86564,0.948588,0.948588,0.827549
1,0.881488,0.87917,0.867445,0.87436
1,0.863743,0.878361,0.878361,0.81775
1,0.878749,0.912127,0.901684,0.845042
1,0.88648,0.898916,0.896654,0.873076
1,0.847351,0.88125,0.877247,0.82688
1,0.947327,0.944827,0.939021,0.892348
1,0.867833,0.917959,0.917299,0.832138
1,0.89789,0.859229,0.859229,0.874591
1,0.878071,0.927999,0.920679,0.807094
1,0.916032,0.948032,0.931365,0.889433
1,0.864684,0.812064,0.80433,0.832181
1,0.876958,0.871123,0.868305,0.846816
1,0.83244,0.839969,0.83727,0.772362
1,0.908869,0.930403,0.927268,0.85081
1,0.840178,0.866199,0.869166,0.771873
1,0.850596,0.856769,0.854467,0.797895
1,0.912006,0.916878,0.915864,0.895915
1,0.831027,0.825129,0.821041,0.836192
1,0.885553,0.920402,0.916155,0.801042
1,0.922615,0.941235,0.93659,0.865444
1,0.907953,0.908277,0.908277,0.869173
1,0.89233,0.90169,0.90169,0.873012
1,0.914906,0.923707,0.914152,0.885149
1,0.913409,0.932175,0.931117,0.85166
1,0.875255,0.920854,0.90692,0.885664
1,0.897134,0.92434,0.923414,0.803899
1,0.875058,0.894174,0.88557,0.874845
1,0.90718,0.946276,0.937856,0.900621
1,0.911776,0.927726,0.927726,0.843745
1,0.868383,0.909463,0.906096,0.857241
1,0.876004,0.916228,0.896383,0.798415
1,0.87352,0.915048,0.908714,0.824571
1,0.885087,0.892683,0.892683,0.898967
1,0.919581,0.943272,0.943272,0.865628
1,0.894934,0.918506,0.912012,0.842221
1,0.897395,0.940645,0.934921,0.863351
1,0.890619,0.924909,0.924221,0.859707
1,0.872979,0.878836,0.874695,0.805064
1,0.905021,0.903013,0.899427,0.849467
1,0.831564,0.878649,0.874292,0.815349
1,0.868145,0.899864,0.9021,0.851141
1,0.917111,0.919139,0.919139,0.814634
1,0.923694,0.920513,0.916809,0.861673
1,0.847027,0.898211,0.89747,0.813784
1,0.891605,0.924916,0.921742,0.850158
1,0.904289,0.903555,0.911889,0.850612
1,0.929829,0.956417,0.956417,0.904778
1,0.914794,0.903384,0.898951,0.878212
1,0.89673,0.920771,0.914933,0.843876
1,0.892823,0.949446,0.945743,0.786337
1,0.903616,0.91607,0.912328,0.796871
1,0.896029,0.924554,0.924781,0.850835
1,0.897483,0.916276,0.908091,0.838399
1,0.892916,0.944921,0.936941,0.877967
1,0.900047,0.947766,0.940604,0.855209
1,0.901768,0.936194,0.936126,0.833072
1,0.934188,0.939456,0.934005,0.886365
1,0.854434,0.891444,0.890727,0.745904
1,0.830876,0.875233,0.862645,0.802818
1,0.906455,0.904442,0.899895,0.875759
1,0.912552,0.913493,0.913493,0.86778
1,0.893388,0.926164,0.926164,0.856029
1,0.818019,0.841918,0.838546,0.827037
1,0.910305,0.903878,0.903878,0.832172
1,0.857606,0.888843,0.884821,0.829368
1,0.911315,0.913293,0.91264,0.855872
1,0.914023,0.917164,0.915664,0.896502
1,0.852116,0.878288,0.879803,0.870714
1,0.859485,0.890271,0.887513,0.81263
1,0.892195,0.928329,0.921121,0.87591
1,0.871864,0.872406,0.857663,0.816441
1,0.904591,0.901556,0.898339,0.86015
1,0.89244,0.908462,0.908462,0.862808
1,0.922516,0.90547,0.90547,0.845595
1,0.830429,0.86752,0.86752,0.788736
1,0.898158,0.926078,0.903943,0.808264
1,0.951009,0.958085,0.938771,0.853758
1,0.938165,0.927219,0.927219,0.91902
1,0.878608,0.920808,0.918344,0.790092
1,0.861338,0.896124,0.896124,0.822541
1,0.927055,0.950758,0.950758,0.885661
1,0.920578,0.925554,0.923054,0.863718
1,0.93161,0.93291,0.923441,0.909519
1,0.914611,0.915513,0.903603,0.880605
1,0.913611,0.903696,0.902714,0.839691
1,0.874637,0.940443,0.936614,0.791463
1,0.918349,0.94078,0.94078,0.880463
1,0.842202,0.882925,0.868457,0.821444
1,0.907759,0.940681,0.9384,0.869328
1,0.910035,0.951941,0.951941,0.872762
1,0.879386,0.917817,0.917817,0.86662
1,0.899003,0.95018,0.947044,0.873586
1,0.898955,0.909204,0.909204,0.864513
1,0.83791,0.843717,0.8419,0.81647
1,0.901336,0.929043,0.929043,0.860457
1,0.903162,0.897948,0.897948,0.842817
1,0.923256,0.902343,0.898174,0.919219
1,0.926994,0.927875,0.927875,0.893448
1,0.921017,0.906617,0.903764,0.859031
1,0.85826,0.895779,0.889297,0.824497
1,0.859548,0.897375,0.885296,0.789532
1,0.909718,0.909721,0.906691,0.89037
1,0.918645,0.922765,0.915684,0.861329
1,0.898697,0.930559,0.925308,0.891118
1,0.86328,0.922219,0.922219,0.804333
1,0.856942,0.898087,0.892373,0.854222
1,0.847378,0.872221,0.865705,0.790122
1,0.893086,0.957128,0.954257,0.859996
1,0.895256,0.897819,0.894574,0.857277
1,0.852152,0.866574,0.860782,0.834026
1,0.892506,0.930216,0.92576,0.824229
1,0.840885,0.865878,0.861483,0.811028
1,0.916636,0.950755,0.950934,0.891685
1,0.88514,0.891936,0.887888,0.849812
1,0.931994,0.930949,0.930949,0.869344
1,0.816361,0.879715,0.871382,0.809905
1,0.880638,0.888684,0.880351,0.878928
1,0.899251,0.909377,0.906551,0.861023
1,0.90854,0.927634,0.915431,0.882621
1,0.904328,0.931575,0.929908,0.877256
1,0.917653,0.926891,0.920693,0.877705
1,0.893724,0.941797,0.941797,0.841243
1,0.925229,0.926597,0.925864,0.892077
1,0.871801,0.851859,0.849292,0.82236
1,0.907479,0.8754,0.873745,0.896426
1,0.8813,0.900058,0.899928,0.852244
1,0.905914,0.91654,0.903261,0.831957
1,0.924427,0.940572,0.939884,0.87799
1,0.883452,0.931192,0.925477,0.837601
1,0.89283,0.897949,0.895404,0.83081
1,0.936177,0.938892,0.938892,0.852722
1,0.883387,0.932676,0.932676,0.850842
1,0.938286,0.942284,0.942284,0.879772
1,0.892963,0.940834,0.931112,0.80428
1,0.877849,0.92153,0.919943,0.839538
1,0.850844,0.887659,0.886209,0.834395
1,0.90296,0.866698,0.861524,0.831002
1,0.887741,0.917313,0.903425,0.824624
1,0.889187,0.897866,0.884911,0.8378
1,0.882206,0.931477,0.931477,0.82855
1,0.861035,0.866778,0.866778,0.86069
1,0.896434,0.95053,0.947113,0.881582
1,0.918326,0.920827,0.924993,0.856257
1,0.905638,0.911535,0.908381,0.864999
1,0.899906,0.884875,0.866063,0.824063
1,0.89052,0.904246,0.901379,0.85329
1,0.859365,0.903167,0.903167,0.835366
1,0.913086,0.883478,0.883478,0.865044
1,0.841552,0.869659,0.856435,0.823013
1,0.917529,0.939383,0.939383,0.87879
1,0.86634,0.923172,0.923172,0.825943
1,0.916038,0.909874,0.905641,0.86616
1,0.950097,0.963931,0.961909,0.884135
1,0.87032,0.88708,0.886066,0.809646
1,0.921631,0.948617,0.948617,0.838536
1,0.915485,0.933716,0.921916,0.862198
1,0.887886,0.91145,0.906942,0.884351
1,0.87219,0.877633,0.877633,0.838508
1,0.909898,0.919922,0.917865,0.830561
1,0.891903,0.906934,0.898732,0.843998
1,0.853165,0.87338,0.872678,0.793235
1,0.877174,0.898258,0.898258,0.78346
1,0.92223,0.924709,0.911476,0.858532
1,0.899819,0.930377,0.930377,0.878575
1,0.885666,0.877577,0.871303,0.824441
1,0.884137,0.877382,0.873348,0.833964
1,0.921486,0.943424,0.943424,0.838603
1,0.941327,0.934686,0.934686,0.884889
1,0.908274,0.910804,0.910888,0.853515
1,0.872911,0.893587,0.88368,0.826705
1,0.91502,0.926624,0.912735,0.839562
1,0.867976,0.91158,0.901569,0.793537
1,0.882938,0.930761,0.930761,0.827306
1,0.896723,0.899461,0.885572,0.865428
1,0.847358,0.850073,0.838779,0.791964
1,0.897311,0.906256,0.903365,0.847095
1,0.895009,0.884262,0.877225,0.875691
1,0.836938,0.877219,0.865512,0.813854
1,0.92819,0.907699,0.907699,0.871418
1,0.746649,0.823045,0.808403,0.763303
1,0.909286,0.940811,0.936141,0.854352
1,0.91044,0.914326,0.917076,0.894815
1,0.855006,0.884822,0.884822,0.820772
1,0.905776,0.904408,0.895579,0.871581
1,0.950353,0.910419,0.910419,0.912223
1,0.897274,0.911585,0.902814,0.840103
1,0.889697,0.913388,0.907562,0.889496
1,0.894561,0.912081,0.901247,0.853697
1,0.877746,0.869058,0.869058,0.857962
1,0.835306,0.864881,0.855784,0.810125
1,0.89807,0.933037,0.930635,0.869762
1,0.861152,0.886034,0.886034,0.829814
1,0.87819,0.870631,0.870631,0.840874
1,0.88158,0.888464,0.885464,0.822866
1,0.875674,0.878045,0.862739,0.862656
1,0.914802,0.944086,0.944086,0.869358
1,0.874764,0.896762,0.894381,0.819104
1,0.892671,0.93527,0.932687,0.823281
1,0.854573,0.870401,0.867544,0.876259
1,0.906479,0.89178,0.891133,0.867591
1,0.884043,0.886642,0.885679,0.849301
1,0.922998,0.952594,0.944564,0.888658
1,0.871772,0.897079,0.904023,0.860146
1,0.916366,0.920284,0.920284,0.881273
1,0.919969,0.919249,0.911929,0.896523
1,0.882971,0.889271,0.894588,0.844758
1,0.960751,0.958832,0.958832,0.917387
1,0.83231,0.883814,0.883814,0.805943
1,0.851476,0.921426,0.919481,0.796268
1,0.925072,0.928848,0.924518,0.861656
1,0.913458,0.919016,0.912958,0.860805
1,0.903775,0.888229,0.882825,0.848096
1,0.918323,0.903796,0.898624,0.884239
1,0.862237,0.876288,0.869288,0.837495
1,0.821974,0.871355,0.867973,0.832559
1,0.891254,0.943499,0.943499,0.833296
1,0.933485,0.907431,0.902349,0.893928
1,0.894353,0.910542,0.910542,0.860183
1,0.926154,0.95221,0.95221,0.858998
1,0.857692,0.913543,0.91243,0.865079
1,0.91861,0.94777,0.94777,0.908738
1,0.895199,0.926594,0.925124,0.814632
1,0.890931,0.925587,0.924703,0.858427
1,0.905109,0.890335,0.884181,0.868362
1,0.889775,0.941029,0.940127,0.88014
1,0.913856,0.930238,0.929359,0.853486
1,0.953518,0.936234,0.93544,0.916172
1,0.926442,0.925924,0.925924,0.879581
1,0.932473,0.911784,0.901972,0.910751
1,0.929622,0.923163,0.919028,0.894305
1,0.928365,0.944243,0.944243,0.89735
1,0.908742,0.901691,0.89996,0.829319
1,0.910592,0.918348,0.915971,0.847079
1,0.852135,0.890675,0.889106,0.820721
1,0.923784,0.916385,0.9096,0.90321
1,0.887666,0.908498,0.906063,0.828788
1,0.858299,0.884935,0.881787,0.833555
1,0.926211,0.903244,0.9038,0.865853
1,0.879837,0.915938,0.913755,0.84707
1,0.8626,0.921752,0.92086,0.834118
1,0.907739,0.905866,0.901904,0.853255
1,0.842855,0.850736,0.843348,0.785928
1,0.903117,0.929358,0.917824,0.887182
1,0.920633,0.947566,0.947566,0.884814
1,0.814008,0.862575,0.862575,0.811105
1,0.876775,0.887043,0.887043,0.835086
1,0.914817,0.906498,0.907164,0.83651
1,0.895185,0.900439,0.89836,0.860174
1,0.919184,0.881224,0.865758,0.860274
1,0.872382,0.904817,0.894939,0.842154
1,0.887491,0.910564,0.895704,0.845735
1,0.901451,0.904822,0.905378,0.854015
1,0.880497,0.898609,0.890734,0.878516
1,0.866894,0.915003,0.902392,0.824269
1,0.910148,0.930879,0.923587,0.860999
1,0.885019,0.85952,0.85007,0.875745
1,0.902717,0.950386,0.950386,0.827676
1,0.922342,0.931703,0.921772,0.87558
1,0.927531,0.947484,0.946928,0.864455
1,0.85969,0.873802,0.871416,0.88061
1,0.838318,0.886499,0.886499,0.822848
1,0.843851,0.879219,0.876739,0.794768
1,0.925673,0.921988,0.921988,0.885286
1,0.90321,0.959681,0.959681,0.878152
1,0.912612,0.87609,0.866209,0.876207
1,0.922641,0.943901,0.943901,0.909262
1,0.890409,0.921859,0.918237,0.864637
1,0.835568,0.900531,0.88515,0.821739
1,0.858021,0.868426,0.86787,0.801751
1,0.89245,0.895427,0.893234,0.849292
1,0.925199,0.885123,0.883109,0.863728
1,0.862295,0.903111,0.903111,0.822962
1,0.917203,0.909906,0.907647,0.856838
1,0.860477,0.904991,0.904596,0.810656
1,0.894717,0.891609,0.891609,0.849259
1,0.85858,0.895461,0.893132,0.779528
1,0.875244,0.942028,0.941162,0.873366
1,0.89861,0.930782,0.930782,0.869416
1,0.877961,0.881421,0.876791,0.826909
1,0.922177,0.93257,0.93257,0.788421
1,0.895185,0.926533,0.924975,0.861937
1,0.920585,0.942261,0.942261,0.868435
1,0.94679,0.939109,0.939109,0.854183
1,0.898003,0.950043,0.937092,0.866402
1,0.887126,0.914426,0.931093,0.826552
1,0.919146,0.929555,0.931638,0.900572
1,0.835085,0.868915,0.866634,0.778442
1,0.907487,0.890361,0.876426,0.864746
1,0.919403,0.909328,0.908619,0.85213
1,0.929412,0.944395,0.930458,0.855523
1,0.892779,0.926474,0.926474,0.839738
1,0.882834,0.930208,0.92417,0.774198
1,0.9232,0.937446,0.933137,0.870607
1,0.910075,0.920345,0.909649,0.86042
1,0.835053,0.928858,0.928119,0.798241
1,0.841505,0.871823,0.862817,0.812419
1,0.910208,0.89593,0.89457,0.821869
1,0.861581,0.909242,0.909242,0.808637
1,0.855413,0.893489,0.890585,0.814188
1,0.913247,0.902173,0.902173,0.866834
1,0.891331,0.914834,0.913198,0.873134
1,0.897353,0.881915,0.879265,0.87449
1,0.871237,0.924233,0.920843,0.813025
1,0.853994,0.891231,0.885485,0.839846
1,0.87073,0.863057,0.860011,0.838194
1,0.898706,0.896324,0.884379,0.865351
1,0.909184,0.915171,0.91154,0.858484
1,0.897121,0.928296,0.920803,0.893452
