alpha,raw,N-std,U-std,z-std,E-std
0.001,0.5258303303,0.5448371065,0.5330221864,0.5328441528,0.5679813127
0.002,0.5546556827,0.5718743711,0.5604691799,0.560271421,0.5943121328
0.003,0.5725050834,0.5886985746,0.5775509799,0.5773348079,0.6105842617
0.004,0.5856462862,0.6011088514,0.5901772131,0.5899520216,0.6225735563
0.005,0.5961290737,0.6110154666,0.6002408175,0.600004863,0.6321060163
0.006,0.6048627852,0.6193096741,0.6086898936,0.6084434976,0.640037162
0.007,0.6124055745,0.626453279,0.615963502,0.6157138287,0.646920495
0.008,0.6190504367,0.6327400544,0.6223766648,0.6221242073,0.6529695077
0.009,0.6250299983,0.6383756314,0.6280983673,0.6278421895,0.6584004893
0.01,0.6303911996,0.6434701076,0.6332875367,0.6330251337,0.6632714692
0.02,0.667513497,0.6786798886,0.6693404352,0.6690544797,0.6968509855
0.03,0.6906850816,0.700676665,0.6918702176,0.6915702699,0.7178179802
0.04,0.7078578743,0.7170100577,0.7086423521,0.7083453028,0.7332957347
0.05,0.7216082039,0.730146341,0.7221092365,0.7218102767,0.7457807634
0.06,0.7331734999,0.741178802,0.7335039363,0.7332084168,0.7562554631
0.07,0.7432065049,0.7507803823,0.7433947547,0.7431034459,0.7653369849
0.08,0.7521264434,0.7593231682,0.7521338784,0.7518554152,0.7734101559
0.09,0.7601359553,0.7670008676,0.7600338787,0.7597549727,0.7806906469
0.1,0.767454702,0.774039115,0.7672522974,0.7669724647,0.7873077057
