raw,N-std,U-std,z-std,E-std
1,0.95036,0.998779,0.999704,0.89582
1,0.956123,0.998532,0.999333,0.900737
1,0.951926,0.998535,0.999736,0.902745
1,0.953839,0.998715,0.999624,0.90615
1,0.954103,0.998852,0.999498,0.908454
1,0.95227,0.998321,0.999241,0.905672
1,0.953623,0.999208,0.999845,0.909555
1,0.960103,0.99922,0.999445,0.913151
1,0.962102,0.998928,0.999243,0.913308
1,0.950073,0.998437,0.999687,0.900183
1,0.954622,0.999105,0.999591,0.899066
1,0.958351,0.99877,0.999592,0.905695
1,0.956714,0.998923,0.999689,0.905054
1,0.957269,0.998451,0.999359,0.909414
1,0.958949,0.999131,0.999853,0.905383
1,0.963,0.999205,0.999664,0.920012
1,0.948852,0.998416,0.999618,0.898325
1,0.957184,0.999031,0.999489,0.906735
1,0.954315,0.999,0.999418,0.905521
1,0.962647,0.999054,0.999209,0.92075
1,0.959919,0.999243,0.999635,0.913095
1,0.95304,0.999078,0.999829,0.903262
1,0.954806,0.99898,0.999728,0.903393
1,0.958294,0.998933,0.999468,0.910522
1,0.957066,0.998637,0.999161,0.898409
1,0.95541,0.999172,0.999839,0.908106
1,0.953452,0.998746,0.999562,0.908522
1,0.947501,0.998575,0.999775,0.894607
1,0.954796,0.999187,0.999753,0.900537
1,0.955353,0.999088,0.99983,0.914948
1,0.958688,0.999127,0.999526,0.914424
1,0.95027,0.998574,0.999431,0.886734
1,0.959229,0.999409,0.999777,0.912844
1,0.956637,0.998783,0.999413,0.910442
1,0.959175,0.998932,0.9995,0.918515
1,0.960604,0.999237,0.99977,0.914266
1,0.950125,0.998784,0.999575,0.898518
1,0.95939,0.999007,0.999504,0.917253
1,0.9539,0.998774,0.999606,0.905923
1,0.952249,0.998695,0.999492,0.896771
1,0.957236,0.998956,0.999542,0.915817
1,0.958644,0.998977,0.99948,0.920543
1,0.951892,0.998689,0.999757,0.897227
1,0.953391,0.999069,0.999699,0.902968
1,0.956928,0.998505,0.999399,0.906306
1,0.957297,0.998845,0.999663,0.902101
1,0.95274,0.998654,0.999312,0.901586
1,0.954048,0.998832,0.999389,0.905703
1,0.95081,0.998628,0.999454,0.891431
1,0.958883,0.998998,0.999473,0.920919
1,0.952389,0.998708,0.999745,0.896637
1,0.952466,0.998733,0.999463,0.90804
1,0.962543,0.998971,0.999219,0.919522
1,0.952616,0.99854,0.999664,0.903315
1,0.950234,0.99872,0.99972,0.900187
1,0.950313,0.998783,0.999622,0.902377
1,0.949318,0.998549,0.999814,0.906928
1,0.962911,0.999476,0.999748,0.919763
1,0.95651,0.998888,0.999624,0.900913
1,0.956216,0.998866,0.999574,0.908747
1,0.956661,0.998614,0.999295,0.904963
1,0.958362,0.999145,0.999409,0.913623
1,0.947975,0.998549,0.999729,0.893516
1,0.949403,0.998464,0.999755,0.896074
1,0.963514,0.99924,0.999473,0.920236
1,0.953919,0.998531,0.999342,0.900104
1,0.959734,0.999153,0.99943,0.914304
1,0.954634,0.998638,0.99953,0.894227
1,0.95222,0.998721,0.999468,0.907128
1,0.949744,0.99874,0.99967,0.897973
1,0.950023,0.998865,0.999842,0.891611
1,0.953632,0.998668,0.999901,0.898147
1,0.958372,0.998818,0.999302,0.908899
1,0.965371,0.999293,0.999576,0.919016
1,0.953645,0.998846,0.999493,0.889173
1,0.956381,0.998313,0.99874,0.900929
1,0.950647,0.99892,0.999892,0.897209
1,0.954293,0.998602,0.999764,0.894842
