raw,N-std,U-std,z-std,E-std
1,0.956284,0.972678,0.97377,0.930855
1,0.959563,0.963934,0.963934,0.948059
1,0.962842,0.97377,0.97377,0.938508
1,0.959563,0.962842,0.962842,0.925683
1,0.949727,0.962842,0.962842,0.933042
1,0.960656,0.948634,0.948634,0.926776
1,0.967213,0.975956,0.975956,0.937705
1,0.945355,0.961749,0.961749,0.915847
1,0.961749,0.960656,0.959563,0.94616
1,0.949727,0.962842,0.962842,0.948634
1,0.974863,0.978142,0.978142,0.952719
1,0.95847,0.96612,0.963934,0.942077
1,0.95847,0.970492,0.970492,0.918535
1,0.960372,0.964745,0.963651,0.934937
1,0.974863,0.984699,0.984699,0.938218
1,0.965027,0.980328,0.979235,0.933042
1,0.956284,0.971585,0.972678,0.92459
1,0.959563,0.974863,0.97377,0.938508
1,0.949727,0.962842,0.962842,0.930855
1,0.956284,0.956284,0.955191,0.914754
1,0.96612,0.979235,0.979235,0.960088
1,0.967213,0.97377,0.97377,0.938798
1,0.959563,0.971585,0.971585,0.924296
1,0.967213,0.971585,0.972678,0.947253
1,0.96612,0.969399,0.969399,0.930855
1,0.962842,0.979235,0.979235,0.937415
1,0.934426,0.948634,0.948634,0.916348
1,0.960656,0.975956,0.975956,0.952719
1,0.974863,0.979235,0.979235,0.953005
1,0.968306,0.982514,0.982514,0.936321
1,0.971585,0.978142,0.978142,0.937124
1,0.946448,0.953005,0.954098,0.904619
1,0.961749,0.978142,0.979235,0.931657
1,0.935519,0.955191,0.955191,0.886339
1,0.953005,0.967213,0.967213,0.930855
1,0.963934,0.975956,0.974863,0.92459
1,0.95847,0.954098,0.953005,0.920219
1,0.960656,0.96612,0.96612,0.926776
1,0.956284,0.967213,0.967213,0.93224
1,0.953005,0.961749,0.961749,0.940405
1,0.953005,0.971585,0.970492,0.931949
1,0.947541,0.969399,0.969399,0.936612
1,0.95082,0.968306,0.967213,0.917441
1,0.954098,0.960656,0.960656,0.916348
1,0.948634,0.947541,0.948634,0.912568
1,0.963934,0.974863,0.975956,0.928962
1,0.942077,0.959563,0.959563,0.92211
1,0.95082,0.951913,0.951913,0.913364
1,0.930055,0.944262,0.944262,0.900546
1,0.93224,0.947541,0.946448,0.881967
1,0.943169,0.965027,0.965027,0.916644
1,0.957377,0.968306,0.968306,0.927576
1,0.922404,0.943169,0.939891,0.879781
1,0.965027,0.982514,0.981421,0.934135
1,0.969399,0.980328,0.980328,0.949727
1,0.977049,0.961749,0.960656,0.94616
1,0.967213,0.979235,0.978142,0.942881
1,0.960656,0.967213,0.96612,0.92947
1,0.955191,0.97377,0.97377,0.914458
1,0.945355,0.959563,0.959563,0.926483
1,0.942881,0.950533,0.950533,0.922909
1,0.955191,0.968306,0.967213,0.937705
1,0.948634,0.961749,0.960656,0.928669
1,0.955191,0.970492,0.969399,0.927283
1,0.957377,0.967213,0.967213,0.936612
1,0.969399,0.962842,0.962842,0.946966
1,0.948634,0.955191,0.955191,0.941787
1,0.957377,0.953005,0.953005,0.939891
1,0.95082,0.954098,0.953005,0.94944
1,0.959563,0.965027,0.96612,0.935228
1,0.980328,0.991257,0.99235,0.955714
1,0.965027,0.983607,0.983607,0.954049
1,0.939891,0.946448,0.945355,0.926776
1,0.96612,0.980328,0.980328,0.928669
1,0.962842,0.977049,0.978142,0.948059
1,0.955191,0.944262,0.944262,0.924296
1,0.967213,0.980328,0.980328,0.936321
1,0.961749,0.981421,0.982514,0.929762
1,0.977049,0.989071,0.989071,0.944262
1,0.935519,0.948634,0.947541,0.934426
1,0.945355,0.949727,0.949727,0.927576
1,0.931148,0.938798,0.936612,0.892896
1,0.948634,0.956284,0.956284,0.926776
1,0.980328,0.972678,0.972678,0.948634
1,0.977049,0.986885,0.986885,0.943974
1,0.962842,0.971585,0.971585,0.92699
1,0.951913,0.971585,0.971585,0.93224
1,0.943974,0.955999,0.955999,0.942302
1,0.955191,0.968306,0.969399,0.946448
1,0.953005,0.960656,0.959563,0.948634
1,0.95082,0.95847,0.957377,0.91883
1,0.961749,0.980328,0.980328,0.913661
1,0.972678,0.979235,0.979235,0.961991
1,0.95847,0.962842,0.962842,0.923497
1,0.969399,0.974863,0.975956,0.93224
1,0.956284,0.957377,0.957377,0.942077
1,0.956284,0.969399,0.969399,0.930855
1,0.96612,0.96612,0.96612,0.946448
1,0.94944,0.955999,0.957092,0.941209
1,0.953005,0.97377,0.972678,0.937415
1,0.938798,0.959563,0.956284,0.914661
1,0.965027,0.970492,0.970492,0.936612
1,0.942077,0.965027,0.96612,0.925096
1,0.96612,0.981421,0.982514,0.946448
1,0.95847,0.963934,0.962842,0.948347
1,0.96612,0.970492,0.970492,0.944262
1,0.962842,0.972678,0.97377,0.938508
1,0.962842,0.978142,0.978142,0.941787
1,0.96612,0.979235,0.979235,0.955714
1,0.949727,0.961749,0.961749,0.928669
1,0.947541,0.96612,0.96612,0.928376
1,0.955191,0.965027,0.962842,0.904319
1,0.951913,0.965027,0.965027,0.935519
1,0.960656,0.971585,0.971585,0.92947
1,0.971585,0.978142,0.978142,0.940694
1,0.945355,0.959563,0.959563,0.924296
1,0.978142,0.986885,0.986885,0.930563
1,0.939891,0.96612,0.965027,0.8915
1,0.955191,0.965027,0.965027,0.913364
1,0.956284,0.959563,0.960656,0.936031
1,0.935519,0.953005,0.953005,0.925683
1,0.953005,0.965027,0.967213,0.926483
1,0.963934,0.953005,0.951913,0.950533
1,0.955999,0.962558,0.962558,0.926189
1,0.949727,0.959563,0.959563,0.941498
1,0.955191,0.979235,0.979235,0.950533
1,0.95847,0.967213,0.967213,0.939601
1,0.965027,0.970492,0.969399,0.936612
1,0.961749,0.970492,0.970492,0.967213
1,0.972678,0.978142,0.974863,0.939601
1,0.959563,0.961749,0.961749,0.92459
1,0.933333,0.935519,0.935519,0.930055
1,0.955191,0.969399,0.969399,0.929762
1,0.956284,0.975956,0.975956,0.92211
1,0.954098,0.949727,0.949727,0.939891
1,0.969399,0.971585,0.971585,0.914458
1,0.960656,0.97377,0.97377,0.953813
1,0.975956,0.980328,0.980328,0.942077
1,0.95082,0.963934,0.963934,0.935228
1,0.95082,0.975956,0.975956,0.921017
1,0.969399,0.975956,0.977049,0.949727
1,0.956284,0.959563,0.959563,0.937415
1,0.959563,0.96612,0.963934,0.928669
1,0.956284,0.960656,0.960656,0.910085
1,0.946448,0.959563,0.959563,0.933333
1,0.965027,0.977049,0.975956,0.933333
1,0.953005,0.969399,0.968306,0.923203
1,0.957377,0.969399,0.969399,0.925683
1,0.965027,0.960656,0.961749,0.930855
1,0.959563,0.963934,0.962842,0.940694
1,0.95082,0.975956,0.975956,0.93224
1,0.937705,0.942077,0.939891,0.926189
1,0.935519,0.957377,0.957377,0.90929
1,0.959563,0.97377,0.97377,0.928376
1,0.953005,0.947541,0.945355,0.928669
1,0.937705,0.937705,0.936612,0.895571
1,0.985792,0.972678,0.97377,0.957901
1,0.945355,0.954098,0.954098,0.908992
1,0.958185,0.97021,0.97021,0.935228
1,0.95082,0.962842,0.961749,0.927869
1,0.967213,0.971585,0.971585,0.953005
1,0.943169,0.953005,0.948634,0.905413
1,0.969399,0.977049,0.977049,0.938798
1,0.954098,0.954098,0.951913,0.927576
1,0.96612,0.97377,0.97377,0.944779
1,0.935519,0.948634,0.949727,0.904619
1,0.965027,0.969399,0.969399,0.951626
1,0.937705,0.946448,0.945355,0.923203
1,0.945355,0.968306,0.968306,0.914458
1,0.951913,0.962842,0.961749,0.926189
1,0.954098,0.968306,0.969399,0.948347
