raw,N-std,U-std,z-std,E-std
1,0.898547,0.966667,0.967223,0.888591
1,0.919302,0.926218,0.926218,0.899167
1,0.945576,0.957858,0.957858,0.894079
1,0.924727,0.91342,0.91342,0.894987
1,0.901358,0.924858,0.924858,0.851634
1,0.937672,0.939353,0.93877,0.872557
1,0.942136,0.96637,0.96637,0.889231
1,0.903578,0.933622,0.933622,0.862293
1,0.920818,0.960238,0.959295,0.908518
1,0.903614,0.933973,0.933973,0.927388
1,0.929668,0.942362,0.942362,0.903005
1,0.940058,0.964542,0.962766,0.935985
1,0.921081,0.954519,0.954519,0.843581
1,0.937404,0.954491,0.953588,0.901897
1,0.967832,0.975121,0.975121,0.902398
1,0.954481,0.962231,0.961676,0.883878
1,0.906603,0.962789,0.963345,0.851582
1,0.920613,0.940609,0.940054,0.879836
1,0.902962,0.925648,0.925648,0.864774
1,0.933368,0.918571,0.91747,0.849642
1,0.951106,0.97505,0.97505,0.905039
1,0.94648,0.930752,0.930752,0.847083
1,0.93284,0.923131,0.923131,0.828235
1,0.947549,0.961643,0.962199,0.90869
1,0.962087,0.969363,0.969363,0.907935
1,0.942608,0.967915,0.967915,0.904207
1,0.904391,0.944941,0.944941,0.867502
1,0.914986,0.961374,0.961374,0.888561
1,0.927379,0.973399,0.973399,0.906965
1,0.917263,0.968572,0.968572,0.891502
1,0.958537,0.975432,0.975432,0.930777
1,0.902606,0.940514,0.94107,0.854225
1,0.926541,0.960188,0.960743,0.884665
1,0.879735,0.934236,0.934236,0.800553
1,0.901233,0.960211,0.960211,0.855823
1,0.952798,0.970033,0.969477,0.875958
1,0.901578,0.93424,0.932084,0.839931
1,0.934377,0.934479,0.934479,0.881424
1,0.911363,0.940678,0.940678,0.861113
1,0.917356,0.95069,0.95069,0.86428
1,0.918003,0.956899,0.95592,0.887955
1,0.925536,0.961309,0.961309,0.902637
1,0.936738,0.94664,0.946085,0.885935
1,0.927435,0.93928,0.938317,0.882767
1,0.922447,0.916807,0.917362,0.82101
1,0.929561,0.953751,0.954306,0.87544
1,0.926283,0.947856,0.947856,0.898847
1,0.934798,0.920721,0.920721,0.870548
1,0.911545,0.909974,0.909974,0.853267
1,0.84987,0.892739,0.891715,0.76703
1,0.911239,0.939004,0.939004,0.863888
1,0.91647,0.955472,0.95488,0.867947
1,0.898873,0.938899,0.935293,0.835741
1,0.914606,0.971868,0.970843,0.877852
1,0.943859,0.968553,0.968553,0.906966
1,0.957821,0.941485,0.940365,0.909442
1,0.941993,0.95404,0.953484,0.923677
1,0.915836,0.919926,0.919371,0.879639
1,0.926038,0.968019,0.968019,0.850459
1,0.892433,0.918217,0.918217,0.86123
1,0.90465,0.921191,0.921191,0.863118
1,0.930966,0.95466,0.954105,0.901694
1,0.917296,0.904938,0.903688,0.885806
1,0.929234,0.93405,0.932792,0.869229
1,0.930322,0.935874,0.935874,0.886049
1,0.911129,0.90606,0.905645,0.859802
1,0.913713,0.943923,0.943923,0.926391
1,0.921172,0.924714,0.924714,0.868084
1,0.930576,0.943296,0.94211,0.932558
1,0.921076,0.931825,0.932381,0.882127
1,0.964664,0.978502,0.979058,0.90323
1,0.93607,0.978776,0.978776,0.897265
1,0.897519,0.912875,0.912319,0.890126
1,0.925598,0.968558,0.968558,0.904495
1,0.941549,0.972509,0.973064,0.916805
1,0.943805,0.903175,0.902911,0.874147
1,0.951395,0.963344,0.963344,0.848635
1,0.932085,0.96282,0.963376,0.895057
1,0.966642,0.986452,0.986452,0.924572
1,0.897777,0.904018,0.903117,0.892177
1,0.911031,0.929825,0.929825,0.87251
1,0.897272,0.911937,0.90973,0.81618
1,0.881614,0.901453,0.901453,0.855852
1,0.947607,0.940475,0.940475,0.904846
1,0.948328,0.978296,0.978296,0.876787
1,0.919861,0.9664,0.9664,0.839634
1,0.912027,0.955848,0.955848,0.866769
1,0.876188,0.911807,0.911807,0.89387
1,0.921843,0.953037,0.953592,0.923995
1,0.913988,0.939293,0.938737,0.921163
1,0.881921,0.942148,0.941318,0.833365
1,0.917613,0.962955,0.962955,0.84827
1,0.923204,0.937152,0.937152,0.909227
1,0.941194,0.951316,0.951316,0.912101
1,0.947967,0.949242,0.949798,0.89658
1,0.932358,0.93388,0.93388,0.90858
1,0.934642,0.937916,0.937916,0.916841
1,0.958061,0.963828,0.963828,0.922215
1,0.902296,0.941097,0.941653,0.885336
1,0.927792,0.931272,0.930716,0.911757
1,0.907925,0.935255,0.92998,0.879549
1,0.944491,0.937985,0.937985,0.910837
1,0.897927,0.930018,0.930573,0.871276
1,0.935681,0.968227,0.968783,0.904718
1,0.921283,0.953268,0.952391,0.903956
1,0.949968,0.946206,0.946206,0.896055
1,0.932601,0.942481,0.943037,0.891122
1,0.93001,0.929055,0.929055,0.911625
1,0.946451,0.968211,0.968211,0.922591
1,0.900812,0.941469,0.941469,0.879433
1,0.89544,0.912908,0.912888,0.88754
1,0.897699,0.954584,0.952784,0.817497
1,0.915803,0.936103,0.936103,0.868652
1,0.935373,0.958075,0.958075,0.866255
1,0.944037,0.964812,0.964812,0.87602
1,0.913438,0.938367,0.938367,0.852618
1,0.956626,0.984023,0.984023,0.868786
1,0.899308,0.92062,0.918537,0.830869
1,0.899488,0.948446,0.948446,0.834485
1,0.922625,0.937988,0.938544,0.903958
1,0.8321,0.913808,0.913808,0.823452
1,0.907595,0.93119,0.933224,0.866227
1,0.916082,0.917488,0.916932,0.93895
1,0.944817,0.946352,0.946352,0.880929
1,0.921095,0.934585,0.934585,0.888341
1,0.905816,0.975895,0.975895,0.936128
1,0.915629,0.93926,0.93926,0.909791
1,0.953736,0.945992,0.945437,0.888686
1,0.916106,0.967284,0.967284,0.951788
1,0.952879,0.967038,0.963421,0.898015
1,0.947121,0.953241,0.953241,0.858658
1,0.893817,0.871236,0.871236,0.883447
1,0.940563,0.971063,0.971063,0.872672
1,0.915258,0.96004,0.96004,0.871107
1,0.913317,0.887359,0.887359,0.903922
1,0.945791,0.911724,0.911724,0.85029
1,0.912819,0.941728,0.941728,0.907987
1,0.95823,0.968247,0.968247,0.875492
1,0.914851,0.951154,0.951154,0.900175
1,0.878294,0.939434,0.939434,0.843461
1,0.948238,0.965432,0.965988,0.914294
1,0.933221,0.93577,0.93577,0.910464
1,0.917267,0.950393,0.948842,0.875193
1,0.917482,0.942812,0.942812,0.807115
1,0.906,0.946077,0.946077,0.887967
1,0.928644,0.967009,0.965951,0.886789
1,0.928932,0.963906,0.96335,0.877672
1,0.873875,0.953165,0.953165,0.822317
1,0.928327,0.934578,0.935133,0.882395
1,0.928937,0.940441,0.939885,0.839915
1,0.87926,0.968134,0.968134,0.862884
1,0.872306,0.892976,0.891204,0.89633
