alpha,raw,N-std,U-std,z-std,E-std
0.001,0.188716538,0.4357024012,0.4275916682,0.4240290512,0.435660741
0.002,0.2159111557,0.4627648422,0.4548274635,0.4512840551,0.4627843571
0.003,0.2337872153,0.4799488792,0.4721623911,0.4686399827,0.4799176263
0.004,0.2474803613,0.49281409,0.4852040908,0.4817001894,0.4927298269
0.005,0.258734857,0.5032023299,0.4957726889,0.492286364,0.5030648117
0.006,0.2683677129,0.5119972733,0.5047046548,0.5012346281,0.5117790535
0.007,0.2768471327,0.5196169307,0.5124831931,0.5090226323,0.5193518546
0.008,0.2844484253,0.5263914462,0.5193852265,0.5159347502,0.5260707564
0.009,0.2913812625,0.5324989642,0.5256278882,0.5221884305,0.5321362751
0.01,0.2977512666,0.5380714487,0.5313035606,0.5278729188,0.5376628829
0.02,0.3442213514,0.5774969809,0.5715170131,0.5681583723,0.576707126
0.03,0.3757904625,0.6030618039,0.597579846,0.5942947278,0.6020305743
0.04,0.4005741232,0.6224760284,0.6173866054,0.6141810329,0.6213218678
0.05,0.4213262591,0.63835258,0.6335552105,0.6304358539,0.6371274543
0.06,0.4394240951,0.6519179155,0.6473265481,0.6443009405,0.6506591711
0.07,0.4556329727,0.6638184935,0.659419322,0.6564778024,0.6625577637
0.08,0.4703436615,0.6744747105,0.6702147199,0.667364146,0.6732124564
0.09,0.4839028686,0.684157581,0.6800191371,0.6772626197,0.6829226665
0.1,0.4965410104,0.6930387552,0.6890171274,0.6863537857,0.6918294976
