raw,N-std,U-std,z-std,E-std
0.945347,0.94032,0.945532,0.944605,0.939973
0.960009,0.958416,0.955229,0.954337,0.961737
0.917566,0.92963,0.933882,0.934658,0.930563
0.917153,0.915835,0.917076,0.915394,0.911941
0.955639,0.945012,0.953866,0.951903,0.9413
0.939187,0.940495,0.936076,0.934424,0.942629
0.958191,0.960448,0.957284,0.955407,0.959509
0.923068,0.924349,0.924088,0.92348,0.920237
0.942797,0.944768,0.94525,0.943,0.944185
0.958635,0.961266,0.961073,0.961209,0.958723
0.960481,0.954155,0.952406,0.950736,0.952862
0.948047,0.940752,0.938778,0.936911,0.937727
0.957833,0.957439,0.958764,0.958268,0.953429
0.937039,0.939596,0.940595,0.938082,0.942546
0.958102,0.958266,0.954532,0.952995,0.958748
0.971608,0.966128,0.966328,0.9646,0.954051
0.936908,0.938296,0.946585,0.947078,0.943442
0.971471,0.965775,0.968007,0.96723,0.966391
0.931736,0.940097,0.943771,0.94265,0.93915
0.936477,0.955053,0.955151,0.953217,0.958589
0.949458,0.945251,0.944373,0.943127,0.937145
0.948217,0.948794,0.938896,0.937012,0.948755
0.944386,0.929783,0.939554,0.938438,0.916239
0.956295,0.958994,0.957543,0.957395,0.953765
0.966001,0.966923,0.962458,0.96053,0.968356
0.958769,0.965875,0.965502,0.965521,0.968481
0.958832,0.956017,0.955616,0.953393,0.960286
0.962578,0.958781,0.959755,0.958818,0.953692
0.954915,0.959412,0.953401,0.952386,0.958148
0.949743,0.973309,0.973557,0.973401,0.974132
0.938216,0.944749,0.942425,0.940159,0.946989
0.939401,0.943028,0.94527,0.945329,0.942243
0.962028,0.973849,0.97272,0.972616,0.975541
0.962557,0.967866,0.964568,0.96587,0.96498
0.95096,0.943025,0.945501,0.945004,0.939626
0.941134,0.92309,0.92701,0.926916,0.926393
0.962841,0.959649,0.963716,0.964786,0.955835
0.952845,0.967451,0.964788,0.963055,0.970128
0.951765,0.951881,0.952727,0.952316,0.948729
0.957917,0.965336,0.960332,0.957991,0.9668
0.96661,0.965894,0.967841,0.966587,0.966973
0.955141,0.949826,0.950716,0.951846,0.945716
0.955095,0.965857,0.964823,0.964731,0.961422
0.949832,0.937903,0.943039,0.942779,0.934217
0.939669,0.931679,0.939064,0.940373,0.938907
0.981226,0.971234,0.970615,0.969101,0.965812
0.922484,0.944945,0.93171,0.930671,0.948596
0.928291,0.932192,0.932165,0.931713,0.936538
0.945704,0.948166,0.950013,0.947936,0.943282
0.940224,0.945838,0.948868,0.947758,0.944882
0.956709,0.960987,0.959936,0.958947,0.957554
0.908145,0.930849,0.938991,0.939923,0.92983
0.96426,0.957279,0.955759,0.954883,0.955455
0.923676,0.944443,0.942534,0.941982,0.942267
0.949857,0.961147,0.958523,0.957223,0.965796
0.959761,0.95814,0.962487,0.962302,0.954893
0.968653,0.971811,0.974067,0.973118,0.971044
0.932648,0.957206,0.954117,0.951966,0.958476
0.976689,0.974951,0.972963,0.971405,0.96814
0.947867,0.950471,0.952656,0.953171,0.9482
0.937646,0.934261,0.935629,0.935162,0.930038
0.931163,0.938378,0.939127,0.938113,0.942474
0.933767,0.930469,0.935205,0.935081,0.92866
0.946942,0.956262,0.964375,0.964196,0.956084
0.970085,0.970583,0.970822,0.969622,0.966884
0.942703,0.95018,0.945662,0.943454,0.949028
0.963591,0.955433,0.956591,0.956076,0.952146
0.970608,0.963462,0.958555,0.957711,0.966053
0.955058,0.956479,0.956563,0.955437,0.953541
0.918565,0.907193,0.911758,0.911664,0.903138
0.951309,0.955836,0.953543,0.952894,0.958233
0.949664,0.943571,0.952592,0.95097,0.938624
0.962289,0.966116,0.963552,0.962268,0.964066
0.934648,0.94512,0.947538,0.945824,0.945928
0.954498,0.951868,0.957966,0.957716,0.950446
0.950974,0.961124,0.957655,0.956028,0.954932
0.969098,0.969962,0.96693,0.966641,0.970624
0.948572,0.945348,0.951808,0.952567,0.944593
0.956991,0.961727,0.96398,0.962882,0.961701
0.956009,0.955215,0.960074,0.960792,0.94785
0.962065,0.9641,0.959597,0.958771,0.961203
0.969556,0.957987,0.963266,0.961894,0.953597
0.963338,0.962639,0.962098,0.960615,0.963246
0.929065,0.929091,0.939989,0.940798,0.932895
0.963532,0.96155,0.961079,0.961136,0.958986
0.950189,0.95734,0.953655,0.951265,0.9631
0.93356,0.948113,0.951851,0.951116,0.94262
0.952388,0.959526,0.956531,0.955749,0.960069
0.971108,0.97468,0.966483,0.964481,0.974194
