raw,N-std,U-std,z-std,E-std
0.770771,0.765098,0.774775,0.774107,0.763454
0.800133,0.800801,0.776777,0.77978,0.816459
0.724057,0.749416,0.737404,0.736737,0.742094
0.710269,0.723056,0.716383,0.716049,0.719412
0.804805,0.778111,0.778111,0.776777,0.766483
0.770437,0.763764,0.745746,0.744745,0.768024
0.803804,0.797464,0.790791,0.788455,0.7996
0.712379,0.710377,0.705706,0.70704,0.709397
0.775108,0.760093,0.751084,0.746079,0.754799
0.797798,0.817818,0.80714,0.804471,0.820564
0.796797,0.765432,0.761428,0.759092,0.767151
0.794461,0.75976,0.751084,0.74975,0.753672
0.820821,0.812145,0.807474,0.805138,0.810315
0.771104,0.756757,0.75709,0.752753,0.76258
0.818151,0.823156,0.818819,0.81715,0.823903
0.840841,0.822155,0.823156,0.818819,0.80731
0.760657,0.752085,0.772105,0.773106,0.770155
0.811478,0.817818,0.810477,0.808809,0.818189
0.748749,0.756089,0.768101,0.763764,0.755029
0.774441,0.789122,0.789122,0.78979,0.801268
0.784117,0.777444,0.757758,0.754421,0.767254
0.794795,0.791458,0.780447,0.778779,0.793624
0.762429,0.746413,0.743744,0.736737,0.727652
0.799466,0.79713,0.787454,0.785118,0.793624
0.830163,0.82349,0.788789,0.787788,0.828772
0.774107,0.79713,0.794461,0.794461,0.82017
0.777444,0.783116,0.772105,0.767768,0.797263
0.799466,0.794127,0.790457,0.78979,0.777268
0.807808,0.805806,0.776443,0.776109,0.803305
0.801468,0.842843,0.840507,0.840507,0.837924
0.797364,0.800467,0.786787,0.782783,0.816991
0.764097,0.774441,0.765432,0.770103,0.782275
0.793794,0.844845,0.830163,0.830163,0.846314
0.792793,0.822489,0.81982,0.817818,0.812651
0.772773,0.755422,0.735736,0.73707,0.749875
0.76343,0.732733,0.728061,0.728395,0.739214
0.829496,0.808809,0.822823,0.825826,0.811415
0.785452,0.827494,0.82716,0.825826,0.831734
0.788455,0.796129,0.782115,0.781448,0.783741
0.785452,0.819152,0.788455,0.784785,0.817757
0.799132,0.796129,0.799466,0.796463,0.80741
0.776109,0.779446,0.778779,0.782115,0.77198
0.802469,0.816149,0.812813,0.812813,0.800968
0.780113,0.748081,0.736737,0.737738,0.742991
0.777778,0.743076,0.742075,0.74708,0.755593
0.846847,0.83617,0.824157,0.824157,0.826337
0.77978,0.782449,0.772105,0.768769,0.779169
0.73974,0.749416,0.734401,0.733066,0.75267
0.789355,0.778779,0.766433,0.761762,0.773494
0.756423,0.771438,0.771104,0.764097,0.755029
0.807808,0.805138,0.792793,0.791458,0.80327
0.696697,0.753754,0.756423,0.757424,0.75968
0.791458,0.788121,0.773106,0.772105,0.781041
0.712713,0.751752,0.738071,0.737404,0.744097
0.757988,0.790123,0.781782,0.783116,0.803539
0.787788,0.798131,0.785118,0.784451,0.79062
0.800801,0.820153,0.810143,0.808475,0.838257
0.731398,0.780113,0.761762,0.758759,0.777935
0.840174,0.837838,0.842176,0.838839,0.831344
0.766767,0.783784,0.778779,0.77978,0.778269
0.741408,0.746079,0.735068,0.735068,0.741446
0.734735,0.75342,0.749082,0.74708,0.756906
0.732733,0.734735,0.743076,0.741408,0.725649
0.797364,0.808141,0.820821,0.820487,0.81976
0.802135,0.812145,0.807808,0.804137,0.805442
