raw,N-std,U-std,z-std,E-std
0.640998,0.640005,0.643039,0.643787,0.639537
0.716368,0.716513,0.692651,0.700555,0.718587
0.564995,0.649695,0.591223,0.592595,0.626553
0.600556,0.651477,0.628123,0.630882,0.651642
0.731904,0.706381,0.706125,0.704456,0.682238
0.618501,0.644861,0.604177,0.605844,0.652131
0.664162,0.68146,0.663195,0.660122,0.684051
0.617855,0.609771,0.607682,0.610576,0.623349
0.666083,0.670492,0.671296,0.66462,0.664512
0.687684,0.702161,0.692809,0.690961,0.700643
0.698836,0.641567,0.659307,0.655219,0.661965
0.709381,0.670796,0.655654,0.655747,0.675872
0.745449,0.744256,0.733526,0.734375,0.733027
0.648114,0.647321,0.675019,0.671389,0.64858
0.728035,0.72053,0.748543,0.750744,0.73121
0.728839,0.730476,0.715256,0.712261,0.718867
0.668202,0.650387,0.675403,0.675216,0.671682
0.727226,0.757564,0.714885,0.71476,0.745247
0.620713,0.617504,0.616141,0.614037,0.641871
0.694627,0.684943,0.727957,0.73154,0.707867
0.695562,0.667644,0.645154,0.626165,0.664452
0.651592,0.685025,0.629722,0.630297,0.668176
0.663606,0.66355,0.65512,0.650321,0.635216
0.72774,0.723301,0.663423,0.66238,0.703465
0.708517,0.710638,0.646978,0.649885,0.708103
0.665737,0.713275,0.680375,0.682967,0.733803
0.662892,0.675492,0.658162,0.654723,0.715753
0.71907,0.689482,0.668201,0.669351,0.66757
0.761694,0.740274,0.676052,0.676811,0.747904
0.686225,0.763776,0.74696,0.745644,0.750469
0.670594,0.683303,0.627953,0.622741,0.696702
0.638221,0.657965,0.646493,0.651793,0.671736
0.683259,0.766819,0.739503,0.742243,0.769353
0.696529,0.759367,0.722276,0.718515,0.76813
0.654164,0.662352,0.615972,0.617079,0.66201
0.620602,0.622529,0.610673,0.610491,0.630841
0.708826,0.704261,0.720897,0.727952,0.715416
0.674019,0.739215,0.750704,0.751881,0.743882
0.682894,0.691441,0.656069,0.657509,0.68086
0.657529,0.709606,0.651787,0.651816,0.712853
0.703531,0.707382,0.725229,0.728768,0.719319
0.6331,0.679982,0.650816,0.652813,0.664384
0.693237,0.732336,0.711887,0.713757,0.730433
0.677227,0.627913,0.617234,0.620625,0.613913
0.691087,0.660543,0.654218,0.661794,0.664756
0.76158,0.754391,0.730282,0.730426,0.75168
0.673169,0.657753,0.653625,0.654295,0.667285
0.596298,0.628487,0.579541,0.571942,0.639084
0.689903,0.695118,0.666349,0.664813,0.691291
0.657717,0.685891,0.655202,0.65125,0.648249
0.727059,0.721528,0.709987,0.711409,0.723237
0.620206,0.710526,0.702971,0.703334,0.72243
0.669842,0.656498,0.62372,0.623354,0.646905
0.608928,0.661311,0.654863,0.651109,0.646749
0.651162,0.691532,0.658936,0.663319,0.694717
0.712188,0.722825,0.715527,0.7156,0.725073
0.708107,0.719295,0.70205,0.704789,0.760783
0.638699,0.693293,0.663726,0.658098,0.691852
0.723145,0.763154,0.736791,0.73685,0.748704
0.661077,0.670611,0.663785,0.665235,0.666238
0.596233,0.644758,0.602754,0.600987,0.635974
0.645646,0.664598,0.656507,0.65631,0.671981
0.634544,0.631717,0.656059,0.654997,0.633812
0.719245,0.719785,0.764411,0.767533,0.754456
0.674874,0.714819,0.711222,0.706533,0.731004
0.68572,0.703771,0.694554,0.692867,0.694388
0.713348,0.722569,0.706282,0.715438,0.729093
0.719909,0.710352,0.67561,0.673945,0.724953
0.726596,0.725238,0.679029,0.68004,0.727101
0.625454,0.584663,0.569072,0.569853,0.575913
0.735911,0.734317,0.720153,0.726307,0.725148
0.681292,0.672071,0.677528,0.675927,0.669581
0.690152,0.744605,0.725964,0.71987,0.740642
0.665881,0.709257,0.709798,0.708853,0.702705
0.712095,0.676368,0.695926,0.699647,0.679766
0.721901,0.737534,0.730431,0.73035,0.71071
0.680937,0.736117,0.72401,0.722814,0.745622
0.67931,0.670039,0.699382,0.705923,0.670088
0.675223,0.713931,0.692113,0.696342,0.692622
0.735677,0.718861,0.744842,0.742206,0.71379
0.741394,0.736806,0.704795,0.69176,0.720148
0.700557,0.704256,0.700276,0.704093,0.669138
0.706977,0.704841,0.688014,0.689546,0.730299
0.606928,0.646225,0.613978,0.614367,0.65769
0.673342,0.689147,0.680606,0.680194,0.69794
0.716557,0.741194,0.736435,0.738699,0.745457
0.62556,0.674045,0.682312,0.680201,0.662489
0.633337,0.668359,0.632703,0.628694,0.689048
0.715463,0.757537,0.693235,0.681929,0.742728
0.665404,0.706019,0.687648,0.689894,0.719578
0.659119,0.664582,0.662217,0.66006,0.670965
0.753289,0.707324,0.677166,0.677152,0.680914
0.713711,0.717797,0.708493,0.700376,0.731014
0.692714,0.739854,0.739561,0.73972,0.748692
0.630972,0.666037,0.639522,0.635396,0.666892
0.60187,0.652476,0.620099,0.617568,0.65768
0.766736,0.731716,0.703253,0.700477,0.737634
0.63347,0.663032,0.659801,0.659279,0.655697
0.63952,0.629113,0.607128,0.604697,0.649268
0.606109,0.613783,0.601357,0.603686,0.637916
0.702202,0.690706,0.720907,0.718825,0.697918
0.673481,0.64932,0.676357,0.67159,0.648476
0.703009,0.76415,0.703537,0.698782,0.722046
0.64703,0.693116,0.669419,0.663989,0.682395
0.677354,0.709018,0.691372,0.689166,0.708732
0.66643,0.645176,0.670457,0.671165,0.63352
0.655531,0.685048,0.678173,0.683134,0.660133
0.63353,0.676692,0.634216,0.628115,0.709374
0.69374,0.722935,0.703636,0.702114,0.739615
0.669378,0.734479,0.69821,0.700293,0.723689
0.700705,0.726489,0.70217,0.702237,0.735238
0.622806,0.661462,0.656857,0.651567,0.652324
0.773674,0.775514,0.784708,0.78451,0.761482
0.592046,0.661837,0.640054,0.633775,0.644712
0.676709,0.720729,0.684848,0.68155,0.716664
0.682659,0.677983,0.648183,0.656928,0.650834
0.666956,0.712483,0.686784,0.687913,0.709737
0.762873,0.750546,0.749997,0.755032,0.717719
0.748941,0.788706,0.781988,0.782568,0.781391
