alpha,raw,N-std,U-std,z-std,E-std
0.001,0.0010518206,0.0010190997,0.0009545538,0.0009227354,0.0010863735
0.002,0.0019300036,0.0020918359,0.0020054722,0.0019545628,0.002130927
0.003,0.0029481878,0.0031809339,0.0030136616,0.0029482066,0.0031827538
0.004,0.0039454615,0.0042018504,0.0040563962,0.0039700319,0.0041763971
0.005,0.0049609167,0.0052454928,0.0051027661,0.0050145834,0.0052136767
0.006,0.0059700096,0.0062318633,0.0060718626,0.0059773167,0.0062373197
0.007,0.0069254646,0.0072655054,0.0070673237,0.0069609593,0.0072682328
0.008,0.0079500128,0.0082727841,0.0081000568,0.0079982385,0.008300056
0.009,0.0089736499,0.0093318786,0.009095516,0.0089755158,0.0093300603
0.01,0.009995469,0.0103291548,0.010071884,0.0099400653,0.0103082466
0.02,0.019915479,0.0199800856,0.0198528149,0.0196809956,0.0202273635
0.03,0.0297463911,0.0296964478,0.0296110006,0.0294010004,0.030089182
0.04,0.039599125,0.039741893,0.0395791662,0.0393591679,0.0399773524
0.05,0.0496036748,0.0497618791,0.0494855185,0.0492482449,0.0498855147
0.06,0.0595573137,0.0597500469,0.0593545943,0.0592064109,0.0599227686
0.07,0.0694591359,0.0697473066,0.0694509435,0.0692873065,0.0698918478
0.08,0.0791827732,0.0795191117,0.0794063811,0.0792372896,0.079935473
0.09,0.0890864134,0.0895336478,0.0893063711,0.0891227352,0.0899009191
0.1,0.0988864124,0.0994300041,0.0991972767,0.0991027329,0.0998909145
