alpha,raw,N-std,U-std,z-std,E-std
0.001,0.2369494995,0.4495903045,0.4367295904,0.4352331971,0.4509301985
0.002,0.260226591,0.4755281304,0.4628120936,0.4613557063,0.4773583694
0.003,0.2755996046,0.4919699493,0.4794817733,0.4780630553,0.4940186292
0.004,0.2874278171,0.5042526871,0.4920025875,0.4906161215,0.5064735334
0.005,0.2971822191,0.5141782554,0.5021374253,0.5007756417,0.5164960784
0.006,0.305569882,0.5225565425,0.5107017142,0.509366241,0.524945288
0.007,0.3129551848,0.529849143,0.5181545637,0.5168342799,0.5322688495
0.008,0.319615417,0.5362957088,0.5247925015,0.5234878344,0.5387621104
0.009,0.3256755552,0.5421079447,0.5307768452,0.5294894194,0.5446227206
0.01,0.3312714214,0.5474100166,0.5362274922,0.5349596514,0.5499535788
0.02,0.3725989022,0.5849285386,0.5748432301,0.5736972311,0.5876231964
0.03,0.401127474,0.6092758137,0.599977563,0.5989234291,0.6120408942
0.04,0.4237791614,0.6278775265,0.6191478302,0.6181679996,0.6306635129
0.05,0.4429391759,0.6431533005,0.6348789418,0.6339661795,0.6459400895
0.06,0.4597481651,0.6562149783,0.648343333,0.6474917436,0.6590181358
0.07,0.4748455063,0.6677304966,0.6601660121,0.6593699089,0.6705329363
0.08,0.4886343909,0.6780723707,0.6707911606,0.6700421028,0.680871861
0.09,0.501382477,0.6875040195,0.6804660204,0.6797590032,0.6902986942
0.1,0.5132926083,0.6961879937,0.6893580217,0.6886965751,0.6989812221
