raw,N-std,U-std,z-std,E-std
0.965332,0.956367,0.965795,0.967425,0.943263
0.964144,0.965434,0.970569,0.971739,0.963581
0.949067,0.958068,0.962898,0.964335,0.956108
0.928567,0.924014,0.936914,0.937689,0.905504
0.969383,0.95296,0.965335,0.964821,0.954251
0.954633,0.953185,0.95915,0.960264,0.949328
0.972766,0.976828,0.977476,0.976388,0.972908
0.941504,0.933013,0.942498,0.940097,0.925166
0.951175,0.954352,0.95758,0.958704,0.955276
0.970458,0.966079,0.966557,0.96903,0.962931
0.970456,0.973458,0.972831,0.971165,0.970545
0.973076,0.968466,0.971282,0.966098,0.961875
0.964677,0.968317,0.965643,0.964722,0.966255
0.940303,0.943351,0.950744,0.950883,0.945726
0.954365,0.954968,0.956292,0.956967,0.961571
0.969884,0.965901,0.969643,0.970518,0.953569
0.968289,0.967802,0.974217,0.973908,0.954376
0.963103,0.964543,0.968884,0.969805,0.958017
0.957711,0.963436,0.965822,0.964098,0.959484
0.959827,0.967928,0.970498,0.970722,0.961868
0.959452,0.957132,0.961542,0.961093,0.947519
0.959689,0.966425,0.96193,0.964003,0.966431
0.95758,0.956004,0.966266,0.967853,0.932936
0.958306,0.956025,0.962434,0.964789,0.949652
0.978167,0.980061,0.977403,0.977086,0.979914
0.966812,0.974099,0.977669,0.977871,0.966625
0.965348,0.965088,0.968343,0.96697,0.960442
0.978178,0.974506,0.977582,0.978862,0.966669
0.965843,0.964062,0.965648,0.966324,0.962356
0.962656,0.974424,0.97666,0.978056,0.972137
0.960214,0.971053,0.968197,0.964121,0.969462
0.951393,0.9564,0.958721,0.955413,0.949326
0.978191,0.979549,0.982417,0.983337,0.975052
0.956767,0.962416,0.965599,0.965826,0.954195
0.965403,0.969398,0.973286,0.974461,0.952701
0.955372,0.945726,0.953781,0.956287,0.939449
0.966803,0.97042,0.97119,0.969823,0.966967
0.960701,0.970514,0.969009,0.965558,0.970387
0.963555,0.972773,0.974572,0.976065,0.970166
0.978225,0.978472,0.977817,0.977229,0.974747
0.974857,0.968429,0.975231,0.97592,0.957756
0.974646,0.974592,0.97506,0.975523,0.96925
0.96856,0.968557,0.974064,0.975016,0.966152
0.959667,0.955191,0.962542,0.962357,0.932101
0.963394,0.951126,0.96142,0.963151,0.948365
0.981589,0.979176,0.980206,0.979537,0.974446
0.947927,0.966503,0.957427,0.955736,0.96596
0.951572,0.950616,0.958387,0.959733,0.946327
0.951548,0.951648,0.961116,0.959268,0.949285
0.965541,0.958629,0.969152,0.969599,0.944902
0.964441,0.967146,0.968831,0.969293,0.962102
0.928374,0.937752,0.950612,0.950745,0.935424
0.971399,0.970053,0.97281,0.972807,0.966325
0.940636,0.943147,0.949472,0.950853,0.938317
0.958866,0.971645,0.966839,0.964251,0.96912
0.973721,0.974008,0.97745,0.97818,0.965524
0.975301,0.967023,0.973087,0.973874,0.970269
0.950361,0.966172,0.971018,0.970932,0.964562
0.981182,0.97867,0.982777,0.982546,0.976423
0.966885,0.967088,0.972049,0.973191,0.955789
0.955788,0.959322,0.961425,0.961074,0.955898
0.945501,0.946072,0.953122,0.953693,0.938214
0.959238,0.957265,0.966405,0.967362,0.950765
0.971051,0.972489,0.973752,0.972891,0.971159
0.972211,0.971608,0.97647,0.976561,0.965118
0.945247,0.965777,0.960648,0.95949,0.961689
0.970714,0.969787,0.974993,0.973469,0.970452
0.974076,0.973208,0.971825,0.970486,0.973512
0.960371,0.962165,0.966677,0.967019,0.953997
0.933711,0.92601,0.939644,0.943327,0.9072
0.965857,0.971339,0.970747,0.970975,0.975159
0.963555,0.961735,0.969463,0.968664,0.953237
0.978863,0.978956,0.979531,0.980706,0.974948
0.946428,0.957503,0.958284,0.959865,0.954983
0.968375,0.973575,0.974021,0.974954,0.965131
0.967012,0.973143,0.971387,0.970366,0.965632
0.961803,0.965845,0.968151,0.965917,0.962135
0.973145,0.966952,0.972162,0.973404,0.956414
0.946102,0.957631,0.95851,0.959037,0.961149
0.956834,0.952223,0.962085,0.96357,0.938702
0.96761,0.963509,0.968359,0.970164,0.953879
0.9787,0.974278,0.979281,0.980256,0.96596
0.975823,0.974744,0.978072,0.978158,0.966323
0.953757,0.948556,0.96047,0.962504,0.946214
0.973375,0.976464,0.97737,0.976291,0.972853
0.968459,0.9754,0.977942,0.975089,0.96674
0.958628,0.96765,0.971543,0.971573,0.95885
0.95428,0.955172,0.961663,0.962558,0.949309
0.972289,0.98052,0.978331,0.976514,0.974709
0.969623,0.966293,0.972269,0.972049,0.961739
0.957801,0.947891,0.955859,0.958314,0.935322
0.979188,0.978893,0.979259,0.979632,0.973566
0.974512,0.970305,0.973695,0.974272,0.963047
0.9707,0.97324,0.973418,0.973177,0.967909
0.953766,0.956646,0.962546,0.964422,0.954957
0.93779,0.942526,0.95186,0.954613,0.945565
0.973738,0.968057,0.971564,0.972276,0.96758
0.956454,0.950343,0.957681,0.958249,0.94448
0.963255,0.948534,0.953803,0.953739,0.934796
0.938659,0.950057,0.956025,0.953843,0.939223
0.973432,0.96802,0.972792,0.972717,0.961267
0.945099,0.951055,0.960865,0.96183,0.946919
0.973207,0.98108,0.982915,0.980636,0.973534
0.965612,0.959972,0.966519,0.968869,0.956581
0.976008,0.976236,0.979376,0.9798,0.970631
0.96831,0.950427,0.963281,0.964072,0.942979
0.96614,0.96844,0.968884,0.96975,0.959038
0.950443,0.948743,0.958255,0.960183,0.953779
0.971715,0.970834,0.973627,0.973472,0.968934
