raw,N-std,U-std,z-std,E-std
0.775776,0.774775,0.781782,0.780781,0.755237
0.765098,0.791124,0.778779,0.781114,0.807843
0.732065,0.768435,0.759092,0.758759,0.788051
0.695362,0.719386,0.71338,0.715048,0.68737
0.796797,0.771772,0.784117,0.784451,0.79773
0.75342,0.746413,0.751752,0.754421,0.776239
0.806139,0.832165,0.818819,0.817484,0.830677
0.725726,0.688355,0.695696,0.697698,0.700284
0.726059,0.732065,0.722389,0.721054,0.761889
0.802369,0.815482,0.808475,0.807474,0.814951
0.807808,0.810477,0.806139,0.809142,0.814852
0.829496,0.79713,0.802469,0.800467,0.795394
0.834835,0.820821,0.817818,0.816483,0.829342
0.702703,0.719386,0.714047,0.713046,0.763661
0.764765,0.792793,0.769102,0.772105,0.805073
0.813814,0.799466,0.801802,0.801802,0.792157
0.796696,0.788121,0.801802,0.802803,0.759449
0.759553,0.791458,0.7671,0.7671,0.799499
0.773774,0.78712,0.780113,0.77711,0.790822
0.762993,0.820821,0.807808,0.80714,0.811947
0.7671,0.774441,0.756423,0.759426,0.769488
0.781782,0.801802,0.779446,0.778779,0.81872
0.762095,0.78712,0.782783,0.782449,0.734963
0.755088,0.774441,0.764097,0.763764,0.771696
0.82029,0.838172,0.816817,0.816817,0.858239
0.758759,0.815482,0.79346,0.793126,0.807176
0.759426,0.791458,0.774107,0.774441,0.794292
0.826493,0.814481,0.811812,0.811144,0.804809
0.780113,0.796797,0.783784,0.784117,0.806444
0.803804,0.81982,0.835502,0.838172,0.822391
0.794795,0.82983,0.827828,0.825492,0.83617
0.78712,0.801134,0.806807,0.806139,0.793725
0.822155,0.844178,0.838839,0.839506,0.837073
0.752085,0.780781,0.78345,0.78345,0.763709
0.756757,0.797464,0.772773,0.77344,0.770001
0.755088,0.744411,0.731732,0.734067,0.75999
0.804805,0.814815,0.82349,0.821822,0.826297
0.778779,0.820821,0.80981,0.809476,0.835253
0.758989,0.815816,0.79346,0.795128,0.822528
0.840507,0.84985,0.831498,0.830831,0.846032
0.80714,0.78345,0.795462,0.794461,0.783073
0.830163,0.844845,0.837171,0.837171,0.832012
0.801368,0.816483,0.830163,0.831498,0.817188
0.746079,0.742075,0.734067,0.734401,0.712057
0.789456,0.74341,0.758759,0.75976,0.75747
0.842509,0.843177,0.834835,0.834168,0.840023
0.791458,0.816817,0.800133,0.798799,0.822626
0.73707,0.759426,0.756423,0.756089,0.767485
0.73974,0.75342,0.745746,0.744745,0.781404
0.777444,0.773774,0.789456,0.785118,0.755467
0.770771,0.802135,0.779446,0.779112,0.799366
0.666333,0.738405,0.732733,0.7334,0.748999
0.81238,0.815482,0.805472,0.804805,0.81976
0.714047,0.733734,0.72706,0.727728,0.74589
0.795462,0.821154,0.815482,0.812145,0.80925
0.818151,0.834501,0.82349,0.823156,0.817188
0.800801,0.787788,0.782115,0.782449,0.814852
0.715382,0.786453,0.777444,0.777444,0.797196
