raw,N-std,U-std,z-std,E-std
0.655195,0.632421,0.626092,0.625493,0.619058
0.694362,0.701857,0.691853,0.693654,0.711822
0.640838,0.663455,0.660544,0.660351,0.68083
0.577224,0.616669,0.615791,0.616878,0.585662
0.714337,0.686714,0.707495,0.707775,0.723224
0.64973,0.638102,0.624515,0.626499,0.652262
0.709099,0.737317,0.729999,0.729175,0.731685
0.61719,0.586724,0.583389,0.584795,0.564145
0.632423,0.619883,0.611527,0.610608,0.667101
0.68463,0.697184,0.691196,0.690512,0.694671
0.721163,0.675368,0.659865,0.662005,0.703523
0.761242,0.715516,0.727955,0.726665,0.703689
0.779472,0.76755,0.756072,0.755144,0.755059
0.611227,0.607598,0.607475,0.606912,0.643823
0.691952,0.693837,0.670599,0.67263,0.718058
0.711971,0.686669,0.68952,0.689467,0.686201
0.717568,0.694206,0.705793,0.706525,0.64244
0.694632,0.692175,0.671716,0.671703,0.695121
0.624184,0.641276,0.627672,0.625717,0.675071
0.700057,0.740365,0.725893,0.725462,0.705437
0.678774,0.682977,0.656094,0.658086,0.687254
0.641793,0.679503,0.655434,0.654724,0.701566
0.713971,0.73658,0.724635,0.724486,0.644971
0.687416,0.67446,0.65276,0.652477,0.646361
0.681798,0.713479,0.712401,0.712452,0.71151
0.674036,0.714423,0.704327,0.704296,0.723273
0.683146,0.679401,0.671355,0.67145,0.700365
0.730133,0.70214,0.703189,0.702665,0.693977
0.719721,0.717944,0.726836,0.727092,0.732884
0.719889,0.719647,0.750467,0.752311,0.728776
0.694732,0.726071,0.730465,0.728977,0.691247
0.695986,0.699589,0.708639,0.708198,0.66709
0.731995,0.755383,0.744277,0.744614,0.754542
0.680715,0.695628,0.694416,0.694581,0.668435
0.680575,0.699574,0.67054,0.670843,0.679759
0.632846,0.623884,0.616294,0.617852,0.646096
0.707909,0.703922,0.741823,0.74078,0.719951
0.687439,0.732566,0.720108,0.719939,0.736934
0.650242,0.708511,0.68539,0.686553,0.720889
0.772185,0.759143,0.739234,0.738779,0.748398
0.704022,0.675594,0.699561,0.698937,0.686973
0.738086,0.757948,0.743407,0.74314,0.746893
0.711846,0.724996,0.752074,0.752739,0.74565
0.641934,0.616239,0.616272,0.616564,0.556501
0.702435,0.664591,0.666177,0.666846,0.66728
0.762502,0.760613,0.753092,0.752643,0.756877
0.658801,0.685649,0.672656,0.671774,0.704663
0.642841,0.651846,0.648619,0.648401,0.637205
0.651327,0.669064,0.644107,0.643478,0.694647
0.704299,0.677071,0.694444,0.691882,0.62339
0.679508,0.705538,0.689023,0.688837,0.667495
0.609331,0.662496,0.651392,0.651824,0.679293
0.698368,0.689723,0.676648,0.676169,0.66696
0.642684,0.66019,0.656424,0.656778,0.656048
0.734197,0.729521,0.724475,0.722345,0.717288
0.747031,0.768759,0.734993,0.734695,0.723875
0.730787,0.660288,0.681817,0.682124,0.726137
0.626958,0.703407,0.669821,0.669851,0.6961
0.738895,0.723175,0.733023,0.731962,0.756338
0.702888,0.695402,0.713808,0.714683,0.663581
0.625344,0.698617,0.662069,0.661418,0.701744
0.644104,0.639707,0.649375,0.649432,0.639339
0.689346,0.707465,0.684364,0.685209,0.682461
0.741941,0.738444,0.747411,0.747782,0.756655
0.677741,0.718574,0.7034,0.702147,0.713163
0.678606,0.698468,0.690771,0.690388,0.690323
0.739419,0.720234,0.734258,0.733621,0.741527
0.73093,0.72614,0.721129,0.720031,0.729265
0.674219,0.683773,0.678219,0.677857,0.709643
0.594656,0.592244,0.570386,0.571724,0.558522
0.734202,0.735003,0.726391,0.725543,0.766189
0.680378,0.666185,0.683227,0.6836,0.664341
0.752767,0.755036,0.734757,0.733378,0.759885
0.722706,0.737302,0.714349,0.713893,0.7249
0.719218,0.717831,0.709397,0.70998,0.689874
0.74604,0.751087,0.741859,0.741776,0.750348
0.674591,0.697715,0.689245,0.691585,0.692674
0.714594,0.69291,0.703482,0.706875,0.688383
0.651599,0.675778,0.654689,0.653589,0.713915
0.672494,0.667616,0.656622,0.657612,0.655821
0.665332,0.664642,0.664597,0.664613,0.658108
0.748837,0.728362,0.746366,0.748143,0.712092
0.712455,0.731211,0.719614,0.719093,0.7038
0.663836,0.652559,0.651193,0.650916,0.70304
0.700711,0.712423,0.727179,0.726488,0.734861
0.700136,0.742065,0.732419,0.73228,0.726517
0.686082,0.722392,0.703967,0.703033,0.681536
0.597497,0.611868,0.610637,0.611336,0.648361
0.734951,0.756246,0.715468,0.714585,0.725064
0.723817,0.706499,0.716943,0.71588,0.722349
0.732911,0.695261,0.702796,0.702456,0.670863
0.737795,0.725609,0.714143,0.713185,0.717064
0.699398,0.712206,0.68192,0.680987,0.710042
0.714402,0.717941,0.690271,0.688639,0.734691
0.623119,0.650995,0.636666,0.63816,0.65931
0.647246,0.648471,0.643313,0.643958,0.696892
0.74515,0.750993,0.72091,0.720168,0.766463
0.682244,0.659919,0.660794,0.659334,0.633932
0.711427,0.660725,0.673705,0.673009,0.630862
0.618653,0.651344,0.648026,0.647395,0.659239
0.740648,0.726082,0.722393,0.722236,0.733838
0.611027,0.625989,0.610435,0.610062,0.61509
0.693454,0.757587,0.72371,0.722261,0.744583
0.651102,0.648832,0.64223,0.642376,0.670018
0.719041,0.730861,0.711171,0.711159,0.708955
0.693136,0.666319,0.68976,0.688615,0.656833
0.701999,0.701452,0.699307,0.698629,0.667464
0.614785,0.626222,0.61729,0.617976,0.682095
0.692814,0.696468,0.693708,0.692505,0.692352
0.70188,0.711538,0.68991,0.690137,0.700218
0.727321,0.762473,0.72301,0.722791,0.729008
0.626429,0.684061,0.671207,0.671132,0.680991
0.790762,0.767991,0.763229,0.764292,0.751187
0.639481,0.669395,0.673612,0.674135,0.648748
0.665215,0.700248,0.681638,0.681719,0.728805
0.633894,0.622094,0.622475,0.621154,0.642817
0.687935,0.72083,0.715177,0.716365,0.716644
0.760509,0.740331,0.73273,0.731957,0.709796
0.761551,0.783469,0.751632,0.751202,0.777294
0.748832,0.749816,0.751312,0.753182,0.748639
0.676931,0.736977,0.721504,0.720536,0.733559
0.727114,0.755135,0.739124,0.738836,0.765119
0.772616,0.746004,0.741182,0.743106,0.735315
0.675596,0.701212,0.68729,0.686224,0.693509
0.698359,0.746734,0.723732,0.725137,0.749375
0.752171,0.75481,0.729895,0.729379,0.766967
0.700942,0.689774,0.710621,0.711143,0.695038
0.699718,0.710603,0.715417,0.714884,0.663402
0.694907,0.736041,0.718314,0.716928,0.739497
0.707426,0.706696,0.710651,0.711996,0.712815
0.697459,0.724085,0.720465,0.720617,0.697484
0.671823,0.717767,0.710528,0.710487,0.707063
0.671153,0.667425,0.652185,0.651355,0.680794
0.724934,0.794315,0.747342,0.746737,0.762187
0.701455,0.721682,0.697648,0.697529,0.655028
0.7081,0.705723,0.700415,0.699862,0.726419
0.709589,0.727168,0.724666,0.726339,0.759544
0.639098,0.673218,0.67785,0.6781,0.687518
0.680631,0.690555,0.665173,0.665356,0.678354
0.697753,0.730019,0.722871,0.721289,0.682792
0.688286,0.702685,0.70379,0.704253,0.723807
0.687264,0.715882,0.716759,0.716021,0.727948
0.726275,0.717678,0.728478,0.728123,0.726949
0.691191,0.71923,0.694291,0.693049,0.666967
0.576078,0.583009,0.576269,0.575857,0.600156
0.678456,0.737001,0.692273,0.692308,0.740322
0.694054,0.698887,0.674105,0.674525,0.685673
0.749962,0.761459,0.759838,0.758907,0.745365
0.701634,0.689529,0.68892,0.688363,0.662774
0.648292,0.726978,0.687229,0.68717,0.698148
0.645704,0.660708,0.667835,0.667502,0.647875
0.681055,0.693359,0.662596,0.662822,0.703514
0.690221,0.720015,0.70135,0.701313,0.706306
0.652265,0.699285,0.68162,0.680734,0.713037
0.691125,0.736009,0.740564,0.74013,0.711201
0.666584,0.665323,0.647356,0.647348,0.639809
0.747507,0.694914,0.70384,0.70354,0.687218
0.537526,0.532564,0.537373,0.537924,0.502911
0.679618,0.687508,0.69551,0.69609,0.667668
0.736666,0.761766,0.74586,0.744371,0.728581
0.666463,0.716082,0.674808,0.675868,0.741333
0.665724,0.659625,0.64364,0.642436,0.653382
0.705966,0.705822,0.681494,0.681469,0.698471
0.715027,0.640671,0.637644,0.637049,0.656198
0.629465,0.64582,0.646565,0.64751,0.668934
0.777397,0.740964,0.741534,0.741336,0.733292
0.711278,0.73877,0.742169,0.7424,0.714748
0.738913,0.737207,0.7128,0.711674,0.749899
0.663668,0.688897,0.685341,0.684938,0.693078
0.686946,0.702504,0.68818,0.687739,0.730213
0.719641,0.751897,0.747243,0.748002,0.777678
0.723922,0.74508,0.73402,0.733525,0.717674
0.724298,0.694978,0.691821,0.6925,0.672138
0.622649,0.669553,0.666358,0.665915,0.693357
0.651736,0.700766,0.676864,0.675665,0.684745
0.691275,0.707081,0.686835,0.686085,0.693387
0.727768,0.709125,0.716853,0.716748,0.706634
0.675137,0.639807,0.650564,0.65118,0.65881
0.77809,0.761001,0.766375,0.766072,0.752009
0.725035,0.730088,0.702722,0.704672,0.733406
0.625472,0.65814,0.649201,0.649247,0.668335
0.690316,0.702007,0.688041,0.688616,0.735429
0.731647,0.7432,0.736629,0.737952,0.685846
0.60574,0.66861,0.66245,0.661971,0.709705
0.608424,0.627173,0.612613,0.614129,0.644886
0.668446,0.672676,0.63992,0.640811,0.647907
0.724364,0.728395,0.713594,0.713549,0.744181
0.580841,0.622929,0.607137,0.606221,0.581198
0.657166,0.678694,0.666694,0.666036,0.677895
0.678965,0.703704,0.67463,0.673017,0.710453
0.687233,0.72266,0.723803,0.723567,0.718602
0.680146,0.671875,0.656481,0.657375,0.699515
0.646289,0.634721,0.646375,0.64612,0.659216
0.749974,0.716514,0.725837,0.726012,0.706454
0.686175,0.705132,0.677641,0.677042,0.70148
0.676733,0.704765,0.707678,0.70875,0.717312
0.616085,0.625881,0.630287,0.630333,0.635457
0.64859,0.656117,0.65576,0.656117,0.664611
0.649263,0.663694,0.662113,0.662746,0.680852
0.660897,0.691307,0.668082,0.668482,0.685929
0.687953,0.696474,0.685122,0.684845,0.676754
0.696376,0.662392,0.680454,0.680807,0.665193
0.671754,0.690628,0.696759,0.696552,0.692265
0.703367,0.702117,0.698239,0.697502,0.709859
0.702328,0.72187,0.701354,0.702736,0.709893
0.553581,0.589047,0.588495,0.588169,0.591196
0.726185,0.689926,0.689872,0.691001,0.670917
0.690209,0.72422,0.707319,0.708585,0.726318
0.709993,0.698677,0.697126,0.698027,0.705634
0.655913,0.644555,0.623779,0.623082,0.620411
0.690404,0.67367,0.653393,0.654297,0.666223
0.767757,0.755606,0.742554,0.741731,0.754013
0.69337,0.691428,0.694031,0.69449,0.690615
0.736779,0.765217,0.739894,0.739099,0.735085
0.738252,0.661548,0.682431,0.681179,0.660373
0.668165,0.651433,0.675014,0.676144,0.619639
0.748058,0.686055,0.716066,0.714946,0.70535
0.632281,0.67649,0.644476,0.644301,0.683147
0.647807,0.656029,0.654634,0.654331,0.64595
0.636351,0.673788,0.64913,0.649538,0.69642
0.747404,0.705043,0.732685,0.733472,0.725359
0.658651,0.623033,0.623057,0.622081,0.60491
0.673185,0.672416,0.701691,0.701194,0.679422
0.632231,0.642843,0.622485,0.622267,0.631585
0.686226,0.708901,0.713802,0.712897,0.706004
0.685813,0.668282,0.682348,0.681705,0.629604
0.682282,0.705686,0.706259,0.705154,0.715588
0.67687,0.676727,0.665009,0.6652,0.678159
0.691301,0.722581,0.717867,0.718239,0.76657
0.683958,0.704002,0.689764,0.69045,0.711839
0.747372,0.773672,0.776399,0.775572,0.76008
0.695608,0.715485,0.711839,0.712419,0.670349
0.629109,0.619031,0.620303,0.620468,0.588012
0.649088,0.694051,0.682387,0.683728,0.694779
0.724048,0.73927,0.739718,0.739838,0.723538
0.586291,0.624055,0.618751,0.617466,0.647366
0.703745,0.739536,0.715394,0.715222,0.718219
0.781876,0.758578,0.758957,0.758644,0.75809
0.729526,0.741068,0.739611,0.737942,0.745201
0.673865,0.671402,0.670043,0.673382,0.665322
0.678159,0.685574,0.668071,0.667417,0.676568
0.787172,0.779256,0.77874,0.778256,0.797337
0.717792,0.678768,0.687215,0.685712,0.668463
0.598395,0.664669,0.63579,0.635283,0.662925
0.651493,0.69994,0.689999,0.689307,0.708106
0.744267,0.771753,0.754112,0.753233,0.772454
0.693915,0.725366,0.706027,0.709113,0.704537
0.597484,0.621168,0.59015,0.590763,0.650665
0.62381,0.681563,0.643329,0.643385,0.631368
0.749271,0.751302,0.724387,0.723558,0.749554
0.688827,0.675687,0.675295,0.674849,0.676296
0.632547,0.637931,0.628442,0.62952,0.679354
0.706449,0.698725,0.676056,0.676529,0.672017
0.662453,0.706445,0.671952,0.671414,0.711534
0.672144,0.677031,0.666436,0.667838,0.612129
0.74463,0.751377,0.758582,0.75881,0.748016
0.712101,0.738494,0.723263,0.722691,0.757288
0.742199,0.769933,0.751199,0.750855,0.770259
0.730581,0.710925,0.72508,0.724956,0.748161
0.636008,0.656496,0.65562,0.654534,0.663689
0.634216,0.679513,0.65231,0.65185,0.648057
0.668674,0.685123,0.631758,0.630989,0.652308
0.720904,0.728467,0.705037,0.706799,0.722795
0.685496,0.709075,0.698604,0.698785,0.695413
0.700528,0.734929,0.735075,0.733369,0.729152
0.69526,0.722861,0.698971,0.700948,0.722358
0.666022,0.641058,0.647815,0.646532,0.669744
0.681741,0.68468,0.666988,0.665516,0.657811
0.74699,0.738769,0.723406,0.724107,0.737613
0.677427,0.704977,0.692494,0.692999,0.720337
0.708224,0.686479,0.676442,0.675614,0.636575
0.706998,0.679532,0.677073,0.676546,0.689285
0.686665,0.724956,0.711985,0.711577,0.751657
0.677896,0.705626,0.69831,0.696799,0.735376
0.748485,0.742164,0.749425,0.750305,0.751535
0.657713,0.65548,0.663347,0.663034,0.6698
0.677063,0.719418,0.684685,0.685032,0.76248
0.679571,0.726282,0.695079,0.695068,0.718617
0.718159,0.718812,0.724364,0.723434,0.708832
0.664275,0.668461,0.65411,0.654811,0.653928
0.605054,0.647653,0.620568,0.621865,0.599726
0.665074,0.683605,0.668669,0.667535,0.695281
0.662512,0.721329,0.707882,0.709531,0.722317
0.695586,0.686078,0.687539,0.687375,0.668667
0.632922,0.644566,0.629427,0.630246,0.627288
0.69468,0.709945,0.704014,0.703126,0.678359
0.646687,0.701002,0.696885,0.69567,0.703117
0.701297,0.753826,0.731857,0.730586,0.766068
0.660013,0.672178,0.6909,0.691767,0.678945
0.705328,0.70461,0.718818,0.718399,0.704523
0.642356,0.653827,0.668534,0.668408,0.627403
0.719529,0.708028,0.716379,0.715929,0.708998
0.669842,0.705362,0.662739,0.663159,0.709613
0.718378,0.731915,0.737885,0.73729,0.730679
0.716621,0.720016,0.721485,0.724088,0.739386
0.725883,0.725204,0.718797,0.719708,0.693604
0.550878,0.560843,0.560189,0.560014,0.589655
0.747103,0.719856,0.703681,0.70277,0.706827
0.626343,0.627275,0.627133,0.627822,0.638496
0.726935,0.702061,0.709073,0.709728,0.718352
0.60663,0.591459,0.605031,0.605345,0.629957
0.671844,0.694338,0.666268,0.665386,0.683223
0.645458,0.673435,0.672681,0.67257,0.704499
0.681369,0.695203,0.707245,0.705924,0.680611
0.619463,0.671247,0.678813,0.67858,0.707197
0.64973,0.724143,0.706149,0.706206,0.713285
0.704033,0.730308,0.682837,0.682929,0.691375
0.663989,0.695851,0.6767,0.67723,0.67786
0.70854,0.737319,0.736096,0.73706,0.738717
0.737413,0.72815,0.715919,0.714208,0.706816
0.784366,0.762279,0.7621,0.761384,0.741087
0.694338,0.706513,0.704953,0.70605,0.678878
0.681853,0.704685,0.693374,0.693531,0.726319
0.738389,0.745417,0.732449,0.73167,0.768267
0.731417,0.735908,0.716933,0.71665,0.726604
0.768189,0.765627,0.790993,0.790237,0.765579
0.703621,0.662404,0.651515,0.650983,0.657097
0.565512,0.580042,0.571656,0.571122,0.627439
0.713557,0.718173,0.706191,0.704168,0.701836
0.688778,0.726236,0.708398,0.708424,0.725386
0.619307,0.606952,0.612971,0.612068,0.647701
0.727854,0.74659,0.73258,0.732397,0.718869
0.645357,0.668878,0.663697,0.662598,0.666251
0.680633,0.705562,0.682471,0.681536,0.686307
0.783839,0.74449,0.735021,0.733694,0.751967
0.635677,0.65167,0.642027,0.642084,0.672644
0.666233,0.698247,0.70354,0.704329,0.722325
0.734593,0.735616,0.740044,0.740269,0.72354
0.676315,0.613869,0.620859,0.620452,0.594302
0.661805,0.683494,0.675174,0.673672,0.675627
0.684681,0.672454,0.669047,0.670186,0.692358
0.69811,0.737974,0.721041,0.719983,0.706976
0.636865,0.657014,0.637049,0.636898,0.651843
0.698011,0.68586,0.673869,0.674788,0.695062
0.678354,0.706909,0.693995,0.69551,0.684057
0.735408,0.740885,0.732692,0.735135,0.741945
0.801063,0.794528,0.810767,0.81313,0.757946
0.686164,0.743647,0.722496,0.722022,0.721717
0.682326,0.713469,0.685497,0.684188,0.684711
0.71813,0.714759,0.69433,0.695024,0.722785
0.680028,0.685612,0.668185,0.668605,0.685338
0.610102,0.648196,0.62827,0.628529,0.674105
0.742332,0.731843,0.738606,0.741152,0.695383
0.736376,0.740547,0.698779,0.7005,0.722849
0.562805,0.629781,0.607371,0.606601,0.647823
0.677891,0.673833,0.655708,0.654042,0.597188
0.646717,0.66853,0.652856,0.653968,0.679197
0.618449,0.638262,0.647965,0.648808,0.634858
0.667061,0.681486,0.681808,0.681359,0.688645
0.694001,0.667814,0.64984,0.650668,0.656674
0.710856,0.687851,0.688198,0.686458,0.668934
0.766332,0.696209,0.717522,0.716871,0.693109
0.622579,0.630267,0.615333,0.614678,0.657273
0.726,0.748973,0.733638,0.733199,0.77633
0.742387,0.729719,0.708671,0.707675,0.680526
0.716539,0.72546,0.743386,0.744067,0.741495
0.730043,0.718127,0.713477,0.7141,0.700816
0.690099,0.692393,0.666286,0.666634,0.651358
0.556054,0.58454,0.580964,0.580195,0.632224
0.771475,0.765634,0.772113,0.772858,0.745732
0.730547,0.685939,0.68365,0.682318,0.653864
0.687833,0.679264,0.686763,0.688241,0.638966
0.65376,0.625818,0.604435,0.603793,0.613493
0.695488,0.678406,0.671111,0.670731,0.662248
0.763092,0.736014,0.744344,0.746907,0.7485
0.677629,0.63427,0.660201,0.660281,0.654757
