alpha,raw,N-std,U-std,z-std,E-std
0.001,0.0009690943,0.0010354639,0.0009290995,0.0009118266,0.0010472819
0.002,0.0019190968,0.0019645625,0.0019272904,0.0018963811,0.0020736538
0.003,0.0028654615,0.0030054799,0.002886389,0.0028536614,0.0030991162
0.004,0.0038581911,0.0039836675,0.0039018509,0.003855487,0.004061851
0.005,0.0048036467,0.005013674,0.0049300392,0.004874584,0.0051127674
0.006,0.0057791027,0.0060518617,0.0059318628,0.0058718629,0.0060873191
0.007,0.006749105,0.0071255048,0.0069182324,0.0068782322,0.0071064156
0.008,0.0077709254,0.0081618742,0.007958239,0.0079091479,0.0081564203
0.009,0.0087518354,0.0091755142,0.0089291518,0.0088464247,0.0091364246
0.01,0.0098018368,0.0101627895,0.0099464299,0.0098700658,0.0101527935
0.02,0.0195582083,0.0201219071,0.0200428174,0.0199355447,0.0200046345
0.03,0.0294527602,0.0300482721,0.0299482759,0.0298328203,0.0298773646
0.04,0.0394500402,0.0401546288,0.0399509958,0.0398055405,0.0399000836
0.05,0.0493691335,0.0500555236,0.0497837028,0.0496664297,0.0497218855
0.06,0.0593818642,0.0599027762,0.0597227735,0.0596691363,0.0597400503
0.07,0.0694855047,0.069897306,0.0696782118,0.0695700311,0.069715487
0.08,0.0796036865,0.0796945673,0.0797045668,0.0795718406,0.0797672892
0.09,0.0896345963,0.0898345619,0.0896300155,0.0895254687,0.0897909141
0.1,0.0998082363,0.0998063664,0.0995981854,0.0995372775,0.0997172748
