alpha,raw,N-std,U-std,z-std,E-std
0.001,0.2806971597,0.4921933371,0.4891186344,0.4857234396,0.5031443423
0.002,0.3009689397,0.5171883036,0.5147272108,0.5113504673,0.5283634966
0.003,0.3144399204,0.5328677298,0.5306901133,0.5273581983,0.5440733908
0.004,0.3248533539,0.5444957343,0.5425113108,0.5392210407,0.5556994219
0.005,0.3334582266,0.5538459568,0.551990081,0.5487615627,0.5650349729
0.006,0.3408944828,0.561706943,0.5599463718,0.556761422,0.5728695914
0.007,0.3474848094,0.5685388022,0.5668366389,0.5636849721,0.5796420763
0.008,0.3534111487,0.5745532791,0.5729231172,0.5698078444,0.5856408463
0.009,0.3588112597,0.5799773745,0.5784079268,0.5753231423,0.5910218351
0.01,0.3638237967,0.5849151336,0.5834186356,0.5803628685,0.5959165583
0.02,0.4009648331,0.6195928982,0.6184251932,0.6155896678,0.6302733616
0.03,0.4267944244,0.6420099441,0.6409407396,0.6382355732,0.6523978419
0.04,0.4473421603,0.6590622654,0.6580220194,0.6554025964,0.6692002162
0.05,0.4647828707,0.6729804326,0.6719846692,0.6694547551,0.6829108237
0.06,0.4801542115,0.684903308,0.683911259,0.6814487138,0.6946209519
0.07,0.4939662331,0.6954014756,0.6944462514,0.6920245923,0.7049041183
0.08,0.5066228707,0.7048444511,0.7038727625,0.7014993983,0.7141096693
0.09,0.5183235556,0.7134285264,0.7124945932,0.7101462823,0.7224801363
0.1,0.5293073529,0.7213427632,0.7203986851,0.7180874603,0.7301815315
