raw,N-std,U-std,z-std,E-std
0.831694,0.857923,0.850273,0.846995,0.86745
0.784699,0.8,0.806557,0.808743,0.81279
0.791257,0.850273,0.843716,0.843716,0.849959
0.771585,0.782514,0.779235,0.769399,0.754851
0.775956,0.77377,0.795628,0.787978,0.791689
0.819672,0.821858,0.819672,0.818579,0.818579
0.813115,0.791257,0.777049,0.775956,0.813884
0.829508,0.865574,0.862295,0.859016,0.843228
0.8,0.784699,0.79235,0.791257,0.784796
0.834973,0.819672,0.801093,0.8,0.824816
0.830601,0.812022,0.812022,0.815301,0.796392
0.84153,0.864481,0.861202,0.865574,0.847773
0.785792,0.784699,0.763934,0.746448,0.79202
0.778901,0.812022,0.820765,0.820765,0.809954
0.825137,0.859016,0.845902,0.842623,0.856987
0.842623,0.86776,0.866667,0.860109,0.845271
0.877596,0.887432,0.892896,0.89071,0.861984
0.829508,0.863388,0.871038,0.869945,0.871683
0.832787,0.840437,0.842623,0.836066,0.817933
0.851366,0.822951,0.832787,0.821858,0.845733
0.740984,0.785792,0.767213,0.763934,0.804372
0.84918,0.852459,0.856831,0.855738,0.823401
0.795628,0.796721,0.796721,0.790164,0.839486
0.831694,0.818579,0.818579,0.812022,0.808418
0.693989,0.751913,0.734426,0.728962,0.770999
0.761749,0.767213,0.770492,0.771585,0.781515
0.80765,0.846995,0.824044,0.825137,0.845586
0.772678,0.777049,0.774863,0.768306,0.794311
0.866667,0.868852,0.86776,0.866667,0.824816
0.814208,0.84153,0.846995,0.840437,0.839803
0.864481,0.889617,0.876503,0.876503,0.871514
0.734426,0.730055,0.738798,0.737705,0.736612
0.834973,0.817486,0.814208,0.809836,0.805464
0.866667,0.878689,0.88306,0.879781,0.866357
0.868852,0.864481,0.866667,0.861202,0.877769
0.801093,0.845902,0.846995,0.838251,0.813559
0.765027,0.759563,0.759563,0.755191,0.789272
0.781421,0.837158,0.825137,0.825137,0.830736
0.770492,0.779235,0.801093,0.797814,0.768389
0.840437,0.832787,0.839344,0.83388,0.852612
0.75847,0.77377,0.775956,0.781421,0.79464
0.812022,0.817486,0.825137,0.825137,0.820765
0.80765,0.827322,0.836066,0.834973,0.836523
0.742077,0.783607,0.768306,0.76612,0.811047
0.885246,0.857923,0.864481,0.864481,0.877769
0.828415,0.84153,0.831694,0.828415,0.778234
0.856831,0.851366,0.862295,0.855738,0.873394
0.797814,0.814208,0.819672,0.817486,0.824044
0.857923,0.862295,0.862295,0.859016,0.872608
0.679781,0.761749,0.719126,0.714754,0.759978
0.784699,0.815301,0.804372,0.803279,0.827775
0.761749,0.755191,0.765027,0.757377,0.750547
0.850273,0.829508,0.827322,0.824044,0.841213
0.76612,0.775956,0.781421,0.785792,0.793443
0.846995,0.869945,0.886339,0.88306,0.854332
0.759563,0.789071,0.780328,0.780328,0.792783
0.79235,0.816393,0.818579,0.812022,0.816393
0.782514,0.8,0.793443,0.793443,0.775622
0.698361,0.762842,0.754098,0.744262,0.782276
0.832787,0.843716,0.852459,0.848087,0.813884
0.833561,0.848087,0.837158,0.832787,0.814653
0.8,0.790164,0.778142,0.778142,0.788409
0.859016,0.880874,0.873224,0.866667,0.856206
0.784699,0.786885,0.783607,0.77377,0.802297
0.801093,0.789071,0.8,0.801093,0.806231
0.787978,0.785792,0.780328,0.775956,0.78589
0.79235,0.814208,0.810929,0.812022,0.805905
0.816393,0.861202,0.855738,0.856831,0.826681
0.845902,0.822951,0.815301,0.809836,0.806231
0.836066,0.850273,0.846995,0.842623,0.853239
0.84153,0.868852,0.881967,0.879781,0.852611
0.785792,0.756284,0.755191,0.755191,0.7731
0.82623,0.825137,0.817486,0.805464,0.827002
0.774863,0.767213,0.755191,0.755191,0.773858
0.739891,0.762842,0.780328,0.780328,0.794086
0.815301,0.846995,0.866667,0.865574,0.836662
0.796721,0.842623,0.845902,0.842623,0.842767
0.744262,0.754098,0.748634,0.747541,0.745355
0.813115,0.837158,0.829508,0.824044,0.845902
0.844809,0.787978,0.815301,0.813115,0.801203
0.863388,0.855738,0.838251,0.828415,0.831055
0.786885,0.821858,0.796721,0.791257,0.786554
0.84918,0.839344,0.84153,0.840437,0.845101
0.843716,0.856831,0.859016,0.855738,0.835111
0.838251,0.842623,0.832787,0.830601,0.833561
0.759563,0.791257,0.795628,0.798907,0.746514
0.771585,0.796721,0.802186,0.798907,0.821985
0.820765,0.821858,0.815301,0.815301,0.78874
0.779235,0.797814,0.796721,0.801093,0.821985
0.819672,0.843716,0.844809,0.843716,0.811697
0.710383,0.731148,0.707104,0.706011,0.742826
0.774863,0.777049,0.772678,0.772678,0.79497
0.745355,0.787978,0.75847,0.755191,0.784796
0.809836,0.804372,0.784699,0.786885,0.814004
0.889617,0.856831,0.852459,0.837158,0.843084
0.76612,0.812022,0.818579,0.810929,0.781848
0.756284,0.777049,0.762842,0.761749,0.770913
0.790164,0.82623,0.816393,0.812022,0.798579
0.872131,0.853552,0.872131,0.869945,0.861984
0.822951,0.825137,0.821858,0.818579,0.815423
0.710383,0.760656,0.761749,0.757377,0.782181
0.780328,0.842623,0.852459,0.84918,0.827907
0.872131,0.852459,0.861202,0.861202,0.823851
0.701639,0.730055,0.727869,0.725683,0.752665
0.809836,0.828415,0.836066,0.83388,0.824494
0.852459,0.84918,0.846995,0.84153,0.829962
0.771585,0.827322,0.834973,0.832787,0.813235
0.779235,0.762842,0.754098,0.756284,0.752324
0.812022,0.838251,0.850273,0.846995,0.865574
0.79235,0.809836,0.803279,0.796721,0.811697
0.767213,0.803279,0.795628,0.789071,0.778901
0.817486,0.84918,0.854645,0.850273,0.794206
0.725683,0.782514,0.795628,0.795628,0.785461
0.669945,0.72459,0.720219,0.72459,0.734482
0.836066,0.838251,0.850273,0.84918,0.825909
0.808743,0.808743,0.828415,0.818579,0.815746
0.727869,0.761749,0.73224,0.726776,0.786222
0.742077,0.780328,0.783607,0.781421,0.799672
0.802186,0.810929,0.820765,0.819672,0.813559
0.721311,0.737705,0.749727,0.746448,0.761072
0.771585,0.82623,0.843716,0.840437,0.805905
0.720219,0.744262,0.746448,0.743169,0.762165
0.805464,0.802186,0.787978,0.787978,0.78589
0.775956,0.798907,0.782514,0.779235,0.815301
0.710383,0.723497,0.700546,0.695082,0.739202
0.828095,0.84918,0.853552,0.843716,0.850424
0.852459,0.881967,0.869945,0.869945,0.881662
0.758131,0.781421,0.765027,0.759563,0.782181
0.87541,0.865574,0.872131,0.869945,0.851832
0.854645,0.877596,0.859016,0.855738,0.850424
