raw,N-std,U-std,z-std,E-std
0.722614,0.767158,0.735096,0.73092,0.749745
0.733885,0.693916,0.718363,0.723088,0.712722
0.747668,0.826869,0.815413,0.814218,0.768085
0.704041,0.677738,0.694996,0.675488,0.639276
0.68956,0.662982,0.725432,0.714931,0.673252
0.724559,0.709659,0.729603,0.736833,0.714294
0.7197,0.661827,0.659527,0.655696,0.68151
0.778937,0.763611,0.803237,0.789194,0.754033
0.756723,0.682988,0.712051,0.710259,0.646628
0.772598,0.729793,0.698848,0.698209,0.723996
0.743307,0.702006,0.743838,0.759878,0.677257
0.791077,0.770366,0.81152,0.815184,0.738989
0.72628,0.69332,0.720018,0.699256,0.676258
0.680017,0.717087,0.752216,0.751659,0.719976
0.762386,0.78615,0.789592,0.787293,0.773995
0.793637,0.772248,0.807075,0.796787,0.734927
0.809272,0.817111,0.837547,0.841915,0.787267
0.736472,0.749734,0.775029,0.771873,0.754664
0.714972,0.690602,0.727575,0.715236,0.704883
0.754579,0.70781,0.732477,0.718005,0.709314
0.684098,0.716384,0.704819,0.708074,0.729482
0.769604,0.754619,0.797983,0.79737,0.708054
0.768654,0.7248,0.764093,0.756021,0.760707
0.791264,0.715946,0.766173,0.75216,0.673945
0.601398,0.625412,0.635289,0.627995,0.652557
0.663875,0.627402,0.664983,0.665682,0.640004
0.740869,0.774082,0.750689,0.751411,0.758588
0.67195,0.646004,0.661732,0.654654,0.663477
0.801029,0.77022,0.792408,0.794187,0.697611
0.760413,0.734988,0.762964,0.754469,0.718357
0.793548,0.828318,0.846581,0.846502,0.789669
0.630438,0.618454,0.633439,0.620706,0.607432
0.773579,0.719592,0.749825,0.742838,0.704635
0.796584,0.73243,0.785988,0.781432,0.721339
0.783771,0.766296,0.817531,0.803407,0.774168
0.791104,0.767759,0.79955,0.782776,0.719178
0.668682,0.649725,0.674779,0.667327,0.664886
0.716153,0.747804,0.749606,0.738936,0.731583
0.682005,0.679339,0.725678,0.712842,0.648933
0.78203,0.766282,0.789398,0.784695,0.766142
0.674969,0.683627,0.70462,0.709456,0.68515
0.72755,0.669607,0.732743,0.732415,0.66067
0.744796,0.756544,0.778402,0.77559,0.760382
0.695429,0.71513,0.73115,0.728837,0.721173
0.827505,0.758708,0.788813,0.789087,0.780437
0.750369,0.732749,0.758241,0.755617,0.671891
