alpha,raw,N-std,U-std,z-std,E-std
0.001,0.0008918002,0.0009081832,0.0008557243,0.0008393311,0.0009344115
0.002,0.0018147496,0.0018868607,0.0018540736,0.0018196475,0.0019032517
0.003,0.0027295018,0.0028212769,0.0028507853,0.0027966873,0.0028442258
0.004,0.0036180251,0.0037868399,0.0038376624,0.0037753681,0.0037015936
0.005,0.0044934323,0.004817981,0.0047835561,0.0046868355,0.0046212578
0.006,0.0052901527,0.0058343679,0.0057983045,0.005721255,0.0055392842
0.007,0.0062049055,0.0067966577,0.0067196095,0.0066245274,0.0064671457
0.008,0.0071393309,0.0077622257,0.0076523911,0.0075376369,0.0073818953
0.009,0.0080130988,0.0086851733,0.0086130421,0.0084835348,0.0083786111
0.01,0.0089278524,0.0096736919,0.0095359886,0.009429432,0.0093589359
0.02,0.0182852178,0.0194523565,0.0196179334,0.0194490818,0.0189736661
0.03,0.0275343893,0.0293917016,0.0294113729,0.0292195713,0.0290785826
0.04,0.0368688119,0.0394244929,0.0395966289,0.0393753177,0.0387326872
0.05,0.0465622449,0.049544184,0.0495786089,0.0493622151,0.0487540185
0.06,0.0562573221,0.0596835415,0.0597179659,0.0595212452,0.0587753475
0.07,0.0658179756,0.0698458521,0.0699458519,0.0696999515,0.0684868402
0.08,0.0757638762,0.0800081653,0.0798835703,0.0796966863,0.0785737398
0.09,0.0855327289,0.0902245726,0.0898376884,0.0897327713,0.0886327647
0.1,0.0953638761,0.1001131058,0.0998229449,0.0997885185,0.0986819587
