alpha,raw,N-std,U-std,z-std,E-std
0.001,0.3243247479,0.5499241214,0.5384219652,0.5381842344,0.5774017241
0.002,0.345331361,0.5746579202,0.5635569116,0.5632857612,0.6014446202
0.003,0.3591686876,0.59004202,0.5792608194,0.5789839575,0.6164426491
0.004,0.369827925,0.6014133392,0.5909157394,0.5906226806,0.6275143678
0.005,0.3786269383,0.6105050254,0.6002277602,0.5999320798,0.6363628195
0.006,0.3862123727,0.6181356294,0.6080570513,0.607762782,0.6438023514
0.007,0.3928738776,0.6247298098,0.614831476,0.6145323227,0.6502131913
0.008,0.3989044757,0.6305538218,0.6208217478,0.6205254919,0.655873662
0.009,0.4044039398,0.6357796728,0.6261758168,0.6258812552,0.6609385508
0.01,0.4094790441,0.6405273779,0.6310513941,0.6307564209,0.665538905
0.02,0.4469517478,0.6735973513,0.6650516391,0.6647693699,0.6974456557
0.03,0.4728146415,0.6946088517,0.6866871148,0.6864063718,0.7175531689
0.04,0.4933217234,0.710389341,0.7029222109,0.7026491813,0.732538473
0.05,0.5106107676,0.7232026508,0.7161080867,0.715837514,0.7446436627
0.06,0.5257068599,0.7340420508,0.7272554635,0.7269857683,0.7548673511
0.07,0.5392809867,0.7435025736,0.7370226521,0.7367583381,0.7637470986
0.08,0.5516100308,0.7519337463,0.7457366918,0.7454728182,0.771666744
0.09,0.5630229235,0.759571582,0.7536043125,0.7533430573,0.7787890164
0.1,0.5736708775,0.7665586628,0.7608154351,0.7605600557,0.7853003858
