raw,N-std,U-std,z-std,E-std
0.839344,0.852459,0.845902,0.846995,0.893384
0.836066,0.832787,0.828415,0.829508,0.844955
0.854645,0.888525,0.880874,0.880874,0.879475
0.79235,0.795628,0.79235,0.79235,0.809511
0.834973,0.816393,0.809836,0.808743,0.837298
0.850273,0.861202,0.846995,0.844809,0.856206
0.79235,0.798907,0.781421,0.780328,0.809511
0.837158,0.850273,0.837158,0.834973,0.832468
0.861202,0.856831,0.856831,0.855738,0.879475
0.84153,0.848087,0.844809,0.844809,0.871683
0.857923,0.844809,0.845902,0.844809,0.866357
0.866667,0.871038,0.86776,0.868852,0.886034
0.832787,0.834973,0.820765,0.820765,0.830736
0.820443,0.818579,0.822951,0.821858,0.834336
0.877596,0.866667,0.868852,0.868852,0.870421
0.856831,0.855738,0.853552,0.850273,0.872608
0.872131,0.892896,0.876503,0.873224,0.904619
0.827322,0.816393,0.832787,0.831694,0.844493
0.850273,0.844809,0.837158,0.838251,0.851832
0.855738,0.865574,0.853552,0.854645,0.861202
0.80765,0.854645,0.836066,0.83388,0.866831
0.853552,0.854645,0.846995,0.846995,0.859016
0.877596,0.869945,0.850273,0.852459,0.859798
0.87541,0.855738,0.879781,0.878689,0.859174
0.771585,0.814208,0.796721,0.796721,0.858705
0.843716,0.839344,0.827322,0.827322,0.822629
0.851366,0.873224,0.88306,0.881967,0.869328
0.805464,0.780328,0.771585,0.770492,0.823079
0.912568,0.906011,0.902732,0.902732,0.882755
0.88306,0.876503,0.864481,0.863388,0.879169
0.910383,0.885246,0.893989,0.892896,0.886824
0.784699,0.75847,0.768306,0.769399,0.800875
0.864481,0.861202,0.86776,0.868852,0.84933
0.884153,0.891803,0.887432,0.886339,0.881662
0.855738,0.868852,0.869945,0.869945,0.856206
0.825137,0.852459,0.828415,0.82623,0.870421
0.751913,0.742077,0.730055,0.728962,0.779661
0.851366,0.846995,0.848087,0.848087,0.839344
0.82623,0.814208,0.822951,0.821858,0.821536
0.866667,0.874317,0.874317,0.874317,0.888707
0.812022,0.801093,0.808743,0.809836,0.828548
0.803279,0.810929,0.806557,0.804372,0.823722
0.854645,0.86776,0.868852,0.869945,0.902132
0.820765,0.834973,0.805464,0.803279,0.854799
0.904918,0.89071,0.878689,0.879781,0.889801
0.869945,0.84918,0.855738,0.856831,0.866357
0.854645,0.855738,0.851366,0.850273,0.857768
0.806557,0.806557,0.804372,0.804372,0.824816
0.873224,0.87541,0.88306,0.88306,0.86776
0.830601,0.846995,0.821858,0.820765,0.836205
0.848087,0.857923,0.862295,0.862295,0.863549
0.805464,0.815301,0.806557,0.804372,0.827775
0.781421,0.804372,0.768306,0.76612,0.866667
0.770492,0.777049,0.771585,0.772678,0.794206
0.857923,0.87541,0.871038,0.871038,0.880874
0.818579,0.846995,0.816393,0.815301,0.877289
0.871038,0.863388,0.865574,0.864481,0.837616
0.842623,0.827322,0.822951,0.824044,0.820345
0.789071,0.803279,0.791257,0.790164,0.823079
0.845902,0.856831,0.842623,0.843716,0.88105
0.864171,0.845902,0.843716,0.842623,0.855425
0.782514,0.79235,0.794536,0.795628,0.808418
0.844809,0.853552,0.828415,0.827322,0.856206
0.82623,0.814208,0.801093,0.802186,0.830736
0.817486,0.831694,0.838251,0.838251,0.830601
0.787978,0.809836,0.805464,0.803279,0.81761
0.843716,0.831694,0.830601,0.831694,0.852611
0.890407,0.899454,0.886339,0.886339,0.903526
0.880874,0.856831,0.850273,0.84918,0.862767
0.87541,0.854645,0.834973,0.836066,0.89478
0.868852,0.881967,0.885246,0.886339,0.883238
0.820765,0.806557,0.8,0.798907,0.824624
0.845902,0.851366,0.836066,0.837158,0.869328
0.802186,0.808743,0.810929,0.810929,0.792887
0.850273,0.838251,0.848087,0.846995,0.836523
0.820765,0.840437,0.832787,0.832787,0.86105
0.878689,0.884153,0.881967,0.881967,0.905712
