raw,N-std,U-std,z-std,E-std
0.713665,0.74474,0.719427,0.719982,0.776295
0.756953,0.711425,0.720293,0.720849,0.710118
0.80534,0.832786,0.852933,0.852933,0.817425
0.672857,0.639704,0.647028,0.647028,0.637369
0.749618,0.697002,0.719569,0.719013,0.751169
0.772311,0.788443,0.773324,0.771817,0.786129
0.673919,0.656808,0.6536,0.653044,0.665602
0.730033,0.721764,0.724583,0.722468,0.694625
0.780139,0.779123,0.770924,0.770015,0.782093
0.767707,0.733814,0.751078,0.751078,0.784719
0.75424,0.713393,0.725656,0.724732,0.731856
0.812253,0.805024,0.821667,0.82312,0.812452
0.761723,0.739038,0.739362,0.739362,0.707698
0.722209,0.709544,0.725981,0.72493,0.707652
0.829423,0.792239,0.809145,0.809145,0.754441
0.790774,0.770966,0.763729,0.761492,0.760618
0.796819,0.853151,0.812382,0.809792,0.840845
0.745881,0.705945,0.762204,0.761648,0.748452
0.716363,0.697446,0.705128,0.705684,0.722582
0.766256,0.749245,0.744107,0.745141,0.714254
0.757654,0.806977,0.801521,0.799647,0.766832
0.750813,0.723363,0.724796,0.724796,0.712867
0.837431,0.809143,0.759664,0.761628,0.740069
0.805198,0.736032,0.787398,0.786842,0.738238
0.651001,0.687116,0.671665,0.671665,0.718258
0.724869,0.715042,0.706501,0.706501,0.669244
0.754318,0.781598,0.791395,0.790839,0.781466
0.688769,0.671669,0.66239,0.661834,0.684441
0.818609,0.80436,0.781941,0.781941,0.767095
0.808092,0.774038,0.770412,0.769857,0.751028
0.861024,0.826183,0.815358,0.814802,0.806879
0.688088,0.631376,0.665986,0.666542,0.679617
0.800929,0.766223,0.799101,0.799657,0.747214
0.802115,0.768972,0.78498,0.784424,0.76392
0.776428,0.756082,0.795926,0.795926,0.742142
0.773926,0.784393,0.757931,0.756344,0.806548
0.650521,0.627827,0.630755,0.629911,0.605292
0.775698,0.748639,0.767454,0.767454,0.720498
0.727356,0.680138,0.702337,0.701782,0.663017
0.744274,0.780982,0.772779,0.772779,0.750916
0.70655,0.690814,0.728108,0.729071,0.726047
0.697931,0.657867,0.692085,0.690345,0.685798
0.78582,0.764217,0.785463,0.786019,0.828486
0.753939,0.760259,0.746826,0.745025,0.733291
0.850646,0.818367,0.837925,0.838481,0.786703
0.779349,0.737078,0.752873,0.753428,0.767539
0.735564,0.732889,0.733157,0.732602,0.730296
0.691248,0.681218,0.690807,0.690807,0.682641
0.803032,0.806496,0.831604,0.831604,0.796602
0.72243,0.73811,0.734247,0.733295,0.741635
0.754267,0.756062,0.767448,0.767448,0.726523
0.696513,0.690663,0.70858,0.707067,0.664377
0.693338,0.697125,0.674293,0.672309,0.762282
0.642641,0.650253,0.660196,0.661188,0.667702
0.774447,0.789663,0.795021,0.795021,0.790065
0.761577,0.775397,0.764964,0.763998,0.819364
0.783248,0.765474,0.757677,0.757122,0.713907
0.742745,0.691347,0.703587,0.704142,0.738995
0.719436,0.708105,0.719096,0.717857,0.742987
0.772244,0.748614,0.756052,0.756952,0.758068
0.792326,0.766782,0.765333,0.764777,0.727679
0.697079,0.692128,0.71523,0.715786,0.706906
0.780945,0.77581,0.732452,0.731458,0.775792
0.706036,0.661804,0.659591,0.660696,0.723184
0.655707,0.664948,0.686789,0.686789,0.638964
0.663573,0.712889,0.703091,0.701602,0.674529
0.802714,0.742769,0.743199,0.743755,0.784596
0.812974,0.815348,0.804318,0.804318,0.829203
0.839751,0.78953,0.791681,0.790607,0.801897
0.790896,0.763478,0.734036,0.734591,0.789647
0.752282,0.756866,0.766713,0.767268,0.766349
0.757334,0.720942,0.728643,0.728087,0.768349
0.768395,0.763483,0.772997,0.773553,0.77331
0.700745,0.678988,0.70706,0.70706,0.668595
0.726288,0.702448,0.730252,0.729696,0.665222
0.715773,0.726184,0.699914,0.699517,0.740107
0.77225,0.759089,0.77982,0.77982,0.865706
0.691355,0.679651,0.676097,0.675541,0.663355
0.765098,0.762312,0.748784,0.748784,0.762043
0.702879,0.652455,0.66912,0.670045,0.694137
0.790615,0.766889,0.787863,0.787863,0.7519
0.698121,0.732765,0.661501,0.658692,0.711719
0.808309,0.780598,0.788452,0.788452,0.796821
0.828862,0.796997,0.808774,0.808774,0.802601
0.795098,0.77759,0.772722,0.772167,0.783771
0.69302,0.662396,0.664017,0.664017,0.693266
0.741999,0.720116,0.731158,0.728249,0.766552
0.760239,0.7688,0.763374,0.763374,0.759353
0.706011,0.660198,0.690215,0.690771,0.685419
0.868206,0.821232,0.839561,0.839006,0.800443
0.685314,0.708923,0.688964,0.689726,0.67954
0.732243,0.742148,0.724905,0.717721,0.771836
0.662569,0.68025,0.664712,0.664712,0.684876
0.785865,0.755828,0.76789,0.76789,0.760215
0.789393,0.799127,0.780564,0.780009,0.790336
0.73831,0.715891,0.754438,0.754438,0.738377
0.766372,0.735308,0.783674,0.783674,0.748788
0.756214,0.772141,0.784899,0.784899,0.761421
0.806804,0.783605,0.771125,0.77168,0.766858
0.798074,0.813861,0.797713,0.797157,0.808059
0.759845,0.779601,0.781693,0.777551,0.797519
0.825797,0.82469,0.847164,0.847164,0.812838
0.784494,0.787737,0.808808,0.808252,0.747974
0.760773,0.72925,0.783365,0.782286,0.713319
0.736837,0.699973,0.713555,0.713816,0.707641
0.792667,0.716645,0.750661,0.750661,0.673981
0.761587,0.714756,0.735433,0.732942,0.757995
0.697918,0.687147,0.669955,0.669955,0.678645
0.72117,0.711397,0.711567,0.711567,0.764765
0.773713,0.744801,0.759235,0.759235,0.763853
0.801092,0.693882,0.747075,0.745202,0.759343
0.839147,0.823727,0.834178,0.833614,0.733451
0.736698,0.715203,0.748701,0.748146,0.705621
0.699697,0.678996,0.691578,0.691578,0.68874
0.792424,0.777836,0.784322,0.784322,0.772621
0.823334,0.805775,0.82898,0.827853,0.803215
0.702884,0.723348,0.67778,0.67778,0.690332
0.660515,0.698669,0.695313,0.694827,0.756348
0.849252,0.788993,0.812332,0.812332,0.761224
0.622761,0.638941,0.624477,0.623922,0.706714
0.807601,0.702354,0.713522,0.713522,0.721951
0.714877,0.695724,0.721913,0.725584,0.713822
0.629709,0.660146,0.651801,0.651246,0.6134
0.723362,0.748782,0.746078,0.744319,0.736744
0.729099,0.693597,0.723425,0.723425,0.728828
0.783692,0.717593,0.75448,0.75448,0.765495
0.755714,0.786689,0.767339,0.767339,0.805165
0.719605,0.734121,0.726,0.724554,0.77704
0.758213,0.717876,0.749662,0.749662,0.743722
0.825044,0.822918,0.810755,0.807145,0.839835
0.779451,0.773607,0.766286,0.766286,0.778784
0.692352,0.722254,0.770215,0.770215,0.72524
0.744935,0.706198,0.745541,0.745541,0.763563
0.786267,0.766161,0.775065,0.775065,0.792943
0.758654,0.729091,0.766557,0.766557,0.74669
0.827589,0.772395,0.775524,0.775524,0.773018
0.775464,0.771441,0.760069,0.758326,0.789939
0.848715,0.780986,0.815024,0.814468,0.782695
0.828543,0.831751,0.81983,0.81983,0.813055
0.810882,0.75224,0.78969,0.78969,0.743803
0.741942,0.740441,0.742188,0.742743,0.754438
0.791134,0.800926,0.801548,0.801548,0.796564
0.820877,0.794379,0.809487,0.808134,0.792937
0.800793,0.784199,0.805074,0.803167,0.715085
0.707161,0.67323,0.731907,0.731907,0.669683
0.753709,0.704858,0.729392,0.728398,0.708848
0.791088,0.787799,0.797036,0.79648,0.754053
0.743036,0.786904,0.762775,0.762775,0.814603
0.726222,0.712612,0.708001,0.707446,0.718137
0.801019,0.723604,0.79425,0.793694,0.765791
0.782178,0.740639,0.791517,0.792073,0.767364
0.825534,0.76641,0.824499,0.822648,0.809853
0.755884,0.700374,0.736218,0.735663,0.738047
0.792765,0.795156,0.770441,0.770441,0.820573
0.736961,0.736594,0.747272,0.745713,0.69876
0.848014,0.80269,0.821603,0.820486,0.798721
