alpha,raw,N-std,U-std,z-std,E-std
0.001,0.0008311437,0.000883592,0.0008278549,0.0008475267,0.0009098196
0.002,0.001714747,0.0018147284,0.0017524339,0.0017786634,0.0018163656
0.003,0.0026475319,0.0027393083,0.002611441,0.0026458676,0.0027671735
0.004,0.0036147421,0.0036294664,0.0035622522,0.0035966781,0.003714706
0.005,0.0045458893,0.0045097863,0.0044720807,0.0044835559,0.0046294523
0.006,0.0054475276,0.0054540411,0.0054097784,0.0054261724,0.0056360018
0.007,0.0063950656,0.0063704276,0.0063786246,0.0064245266,0.0066261582
0.008,0.0072999822,0.0073015703,0.0073868139,0.0074114043,0.0075802506
0.009,0.0081999804,0.0083146783,0.0083195975,0.008349106,0.0085458187
0.01,0.0091606345,0.0093818864,0.0093277911,0.0093638569,0.0094556492
0.02,0.0188950472,0.0189244857,0.0191064535,0.0191605517,0.0190720173
0.03,0.0285015951,0.0285343239,0.0290195703,0.0291064555,0.0289605438
0.04,0.0380278166,0.0385507236,0.0389081046,0.0390031879,0.0388261298
0.05,0.0477655152,0.0483900834,0.0490474679,0.0490868118,0.0486704078
0.06,0.0573376437,0.0582261651,0.0591589552,0.0592458418,0.0586868209
0.07,0.0669622282,0.0681130692,0.0693097935,0.0693983179,0.0686130703
0.08,0.0768278013,0.0780245584,0.0795803031,0.0796573515,0.0786835784
0.09,0.0864671449,0.0880458888,0.0896786731,0.0897442477,0.0886786724
0.1,0.0962655046,0.0980819638,0.0996540915,0.0996639309,0.0986786863
